Hit Rückblick,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Burden Down,5IoGqgKc01aOc4MqzGfDmm,Micar,3QqlKdJRY4IqUry390xfvJ,Burden Down,3LzJ8ksrGySf1SIiFAY8cs,56,https://p.scdn.co/mp3-preview/2419b74e69f54107fdb06c3c3f526a58e80d5a16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Senorita (feat. Pietro Lombardi),7C2uYDYGaGLAq9kD2ZrHdr,Kay One,6VjbeCqoayiHYnefrisskv,Senorita,4LkTwh0FMmd8IR0zvMbYS3,5,not available
12,You Let Me Walk Alone,07qlsG6DYRLBbovwca9Vbr,Michael Schulte,21aa4pj9BvbFB2iT8kRpnq,Dreamer,2t0sI2bIbjfGv6UmjEG3LP,59,https://p.scdn.co/mp3-preview/a53bf62c83048dbcc7b1f3f6e614afbadacda8da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Summer Air,3GPI7hYiqD6enLRobhkBm8,ItaloBrothers,5nkYRuiIHg2xXHFC8bfosJ,Summer Air,2wXWlMXmao3AoaZKtl2p5Q,15,not available
14,Was du Liebe nennst,4hKWUzhQWsOkgT6LnDEASe,Bausa,13bDjug9N0pyv3ZUINjkDV,Was Du Liebe nennst,5NmLQOHFw8w291xZEN34me,66,https://p.scdn.co/mp3-preview/dd8265fca847d4cee49c47744530e9131c7d0989?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Feuerwerk,17DNnXyihmTHGxMQs1Bm6T,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Feuerwerk,27Wz6k48IILYU5TDnuqEeB,10,not available
16,Stargazing,0Zbbxnx4SGGHoIow4PpISP,Kygo,23fqKkggKUBHNkbKtXEls4,Stargazing - EP,2sPYPyDFwgi1jrRTGhoxq2,75,https://p.scdn.co/mp3-preview/1c83c44bc1fbe6bed8254c4203256778a7a8b83d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Crazy,1ZtEZjYb4e0V0gqwRYeeAY,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Crazy,44w0sjVpQthx9MxtXSI0TZ,48,https://p.scdn.co/mp3-preview/5954f0df659a424181a4cd3c05ddb8e1b83d31e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Rise,3KLygy1YWhmrQx0GRs7IOx,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Blue,6x8gRx7RDvPckYBzPodW8w,30,not available
19,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)",5dX8ECwIk0dgBTkqwPVZhc,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)",12tophmBTd8u7ETsFhh6Ga,8,not available
20,Leave a Light On,6lOWoTqVnAWXchddtTH31W,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Leave a Light On,3pczowjToa5SYsI6Th4KO8,76,https://p.scdn.co/mp3-preview/1f0dd349b1a3898c0f7466a95fa437b1c77928d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Kogong,0eBEo8ckRAmUEdrbmgpevQ,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,Kogong,4SgQnitl0j0MXsloj8KoBI,56,https://p.scdn.co/mp3-preview/a10a5aebafbb9efc5dfb0e771c94bd15bce06eac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Dreamer,7hvxMYq9JW5W0vFwiu1Zdr,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,More Than You Know,7bchrFZj39dzXln8iE6tBE,13,not available
23,La Cintura,1BFmBgVOnLy3Ekrxz1lBOK,Alvaro Soler,2urF8dgLVfDjunO0pcHUEe,Mar De Colores,4JKhcsTTBrRxA01gvYPm6s,26,not available
24,Bella Ciao - HUGEL Remix,3mHXBSyBazzIW1INJmErKi,El Profesor,2gTcdmBwgyh3EORKIXCzlw,Bella Ciao (HUGEL Remix),3CQXZGwq48aV4XrkpxCgOr,66,https://p.scdn.co/mp3-preview/7ec9450641672a7b287e0f1e18e5d329de9f37b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE,Avicii,1vCWHaC5f2uS3yhpwWbIA6,AVĪCI (01),6LaLU27ZPXimJIbpbiOahr,27,not available
26,There She Goes,5tmuKTnfayZkjDlukTz3vT,Taio Cruz,6MF9fzBmfXghAz953czmBC,There She Goes,6lIsiWfNLzYcGQE6FmwJwt,60,not available
27,Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Be Alright,0YZLXTaHLcgl5UdtKDiUXD,86,not available
28,I Believe I'm Fine,7Lgpic8BsBJR4jFrr9abbz,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,I Believe I'm Fine,6DK2SoPZxXKlcOqMtrBJS0,51,https://p.scdn.co/mp3-preview/d1836ee71425e8f2a1fd0ff0051f7d4b7ebc2882?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Lieder,5Zd6xRDfkWRT1FF1CnmvOG,Adel Tawil,3rZBkgoRHG8M9jQL0QPNMi,Lieder,2ddLpxUJMWmq49zsOSBHGQ,8,not available
30,Born To Be Yours,2hoigtnMAjSejRi1hHk99w,Kygo,23fqKkggKUBHNkbKtXEls4,Born To Be Yours,2pJwtJl5mZdRj2jocjDFgB,60,not available
31,Bye Bye,6Sr3iRWoMsyqVfNDJJQmzk,Cro,3utZ2yeQk0Z3BCOBWP7Vlu,MTV Unplugged,324qUngn6Sf6tlQ5mSvio8,63,https://p.scdn.co/mp3-preview/cf925a8cd96bbf6b1f9502fbd04ccd6dfc729cc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Lonely Together (feat. Rita Ora),7DoN0sCGIT9IcLrtBDm4f0,Avicii,1vCWHaC5f2uS3yhpwWbIA6,AVĪCI (01),6LaLU27ZPXimJIbpbiOahr,21,not available
33,Lullaby,5xzCzOAOfRi4DOttSzvznR,Sigala,1IueXOQyABrMOprrzwQJWN,Lullaby,1SR7c6j94aiuYEhUrfTbZ7,69,https://p.scdn.co/mp3-preview/f333b096a28a34d65c13d8616b18612b4665a7e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Ist da jemand,1QzmdyU1N47jAj0ao5IvlW,Adel Tawil,3rZBkgoRHG8M9jQL0QPNMi,So schön anders (Deluxe Version),0eeSPBnOD7gGAcCjS9R2IA,61,not available
35,Pretty Girl - Cheat Codes X CADE Remix,39IsH7B5byx8NRlEKlZVg9,Maggie Lindemann,0uGk2czvcpWQA383Im6ajf,Pretty Girl (Cheat Codes X CADE Remix),6jO7hs4GsF6924w10xQTyA,73,https://p.scdn.co/mp3-preview/58cb4a89b49f1b0f0a4e3eae532df7c47bc2a0b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Bad Ideas,76gwG061wqdatYhicO2hG4,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,Music Is My Best Friend,32QOMbVCKKaKkFiEmX4laq,56,https://p.scdn.co/mp3-preview/acf7849851238cace2e29ea8cca581172dae0150?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Feel Good,6a9vKVMFfNBi741DVSit3H,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Feel Good,5yAfDtl0HzGSqfLv2C40Uy,14,not available
38,Ich lass für dich das Licht an,55VQvOY6dT63vHmYlWJDpG,Revolverheld,5FYfIAuN8mV5KgVtugwfc0,Immer in Bewegung,2GJf3Mf41uZ05U6ygryyD0,62,https://p.scdn.co/mp3-preview/bd0ebe14e46d5626204bcfc520b961c026efdcc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,More Than You Know,4q8PHoRsPUB52LFylX8Ulz,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,More Than You Know,5wtHzowB37Fre3iXWQW5v5,24,not available
40,Solo (feat. Demi Lovato),3NuK5xMlSlB6K2Qp16zf3h,Clean Bandit,6MDME20pz9RveH9rEXvrOM,What Is Love? (Deluxe Edition),1MvF4ulZKH7SaDQs9rE5nc,74,https://p.scdn.co/mp3-preview/3012a9efa7581dbd4754aeb8eaa41be5d3eae219?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Your Song,6lrm01OVZZVmarH2XLSAXZ,74,https://p.scdn.co/mp3-preview/91a31303c4101d8cdd1a7a3894644cc236c6e776?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Are You with Me - Radio Edit,5kBHXns5U8pjLWGwtbhT8d,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Are You With Me,6Ho73fLD13WVZZ2A7XDJC4,46,https://p.scdn.co/mp3-preview/968a7c043c43272cf020e9b16a23583ef8854190?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Rich Love (with Seeb),7aF09WaavZAmAWuUeYxlYD,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Rich Love,57Cm8PM2tz8TAvbbPFglMG,17,not available
44,Geiles Leben - Madizin Single Mix,4dE4yaT3DzLiXH1wnH1KLo,Glasperlenspiel,2UFKXTZgKtOTHSqMSyAcLO,Tag X (Deluxe Version),2rbSsJUXRpQ0kx3JZBY4oO,9,not available
45,Hot2Touch,1sBhJGPUKrdRycgKxve70v,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Hot2Touch,6eBx4YwPpHIcdPmR9JBJT2,16,not available
46,In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,In My Mind,1c79SozES9Eb3Lzf9KVaIa,86,https://p.scdn.co/mp3-preview/93c16bb3fc2389f39db64a559ddac0d84bb15e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Willst du - Radio Mix,2LkUiZy08G0PAOzvRQ3oxY,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Prayer,1SrvubPy1Dg2BWJyTMcmgr,61,https://p.scdn.co/mp3-preview/ebb555b46908d8180877095941d8217085bf0d06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,No Vacancy,6XOYVSmNDjKUNMXooU4s4z,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,No Vacancy,7GxsxPFTZANnpsAONtZlHQ,14,not available
49,Unter meiner Haut - Radio Mix,5NZlsLgfdg8HlP8RaXPIeP,Gestört aber GeiL,7KAGJwWQQui8b0uqwXRkSr,Gestört aber GeiL,48YTCB5qNHU6F2FGAufIxJ,59,https://p.scdn.co/mp3-preview/0ed52d136f15531bd0733377043a874a0e6688a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Sun Comes Up (feat. James Arthur),6SUocL0caib4mLHe8ZrZzi,Rudimental,4WN5naL3ofxrVBgFpguzKo,Sun Comes Up (feat. James Arthur),5UGyzp6HT8oy0eTkBfxtQ8,67,https://p.scdn.co/mp3-preview/f41d62f292e4bd7cc6b0f63ee119b4585a66f3f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Ciao Adios,3EfugazgSddQvzZpkof5I4,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,Ciao Adios,7BaS787qIlgKTMOFR2e91E,67,https://p.scdn.co/mp3-preview/c7b941dd440644eef03bc442c3b977abef82cbe7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,OK - Spotify Version,5AE9iVHWiJLY5CUKmvXkKd,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,The Afterlove (Bonus Track),613axulVSXcND6yCjasyt7,7,not available
