Deutschrap Royal,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,500 PS,641R77CBy4bOLGRcA9sgHy,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,500 PS,5fqNFmrbjOmQCWPpgZ7oyc,13,not available
37,Rolex,38lQ7lYhN3eSWepnZHaiBF,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,CB6,0HSskTof4Pr4FZ5vVMY1Io,72,not available
38,Genick,1AGjF8pckOxTGeb5zubyqH,Loredana,2Im8m4STDBosjfmb5hmP80,KING LORI,0m9pMIOYMHxRj6E9IRFacP,81,https://p.scdn.co/mp3-preview/543e8de403cd1af7df2b1131cacdad18db5a97c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Blackberry Sky,11rBlJlRoWNj69twOOki03,Eno,3GBBxBdoolb0B5YizZq9bF,FUCHS,6I4JoNzWuJ9k9iDDfpxedo,67,not available
40,JAJA,5z3vuYzS9UF6rD6TmBEdUf,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,JAJA,2acF6XAow70f2OOCF8jdPV,68,https://p.scdn.co/mp3-preview/9214458226d6297be5249afc174b7837bbe69dd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Kokain,1H3oIeKUEHpBhXUiso0IMH,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,Kokain,5QY4oFlXiRtP8Awn9LNuJf,7,not available
42,Prinzessa,7r55d7IhAj5UGKiYbXBwRP,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Prinzessa,0065dqIv0oHpm5UWFLI6wx,68,not available
43,Alleen,3UDsmMZsEMsvM82OcdqJWu,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,Alleen,5Tr8qCHTxdjOpKB7hX40yL,65,not available
44,Yallah Goodbye (feat. Gringo),70zRDnEkOhVb51fZA13khd,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Yallah Goodbye (feat. Gringo),7tWDEXNaCfAlbOEb1Ky0oF,74,https://p.scdn.co/mp3-preview/6368be6fdedde204abe235e974f4c12b610f4597?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Harami,5xIODxqlpUnRVA9ewZUCug,Samra,6h1s4i4XKIYv4ErDelLDN0,Harami,1Co5X5Scq3o8pImvrsBp5T,69,not available
46,Meer,1LcvTvRfWrQjrF6aymfugd,Luciano,3CJKkU0XuElRT1z8rEtIYg,L.O.C.O.,0JBOzsIzrlq7ZHsj1NCZfq,64,not available
47,Benzema,7KPGeiXWDsGEvFK62wzU8E,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Benzema,7pjEBAT8UkN8Mi74eQTH1e,66,not available
48,Weiß noch nicht wie,2jyAvnRIQwVzH7Vz6p9pit,Bausa,13bDjug9N0pyv3ZUINjkDV,Fieber,5UvEBdOJYdPbKhZTSd5iHo,62,https://p.scdn.co/mp3-preview/59eeb595e8f3621bf673ae8c0761bf60a4cd0837?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Brot nach Hause,5e0bzcsI1khimLSJhddHdS,Apache 207,1qQLhymHXFPtP5U8KNKsm6,Brot nach Hause,7z0WAiwWNGBFxqSJ18FSXK,75,https://p.scdn.co/mp3-preview/b13e09da6c422f7e9eb491601e0f57651ccaaf7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Das Buch,6SX4L6NKqcH42eY2gX6qoX,Sido,4Yttlv9ndGjCDCVLqM7ACq,Das Buch,44VO2thQmrLPcVFJKHGtNF,66,not available
