Te Quiero,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Simples Corazones - Acoustic Version,6Gy0swk2i78Xm8V9Ka51N2,Fonseca,53KTldaJ8tHSkYU3nigfwP,Simples Corazones (Acoustic Version),11UidmQLJbPFt5HIbTHxd8,4,not available
14,¿Qué Vas a Hacer?,1U0Iv0dVkdRhqXg1LJlusm,Ricardo Montaner,4uoz4FUMvpeyGClFTTDBsD,¿Qué Vas a Hacer?,2mZ5XAbMCKp1ai5t61OJCb,27,not available
15,Que Lo Nuestro Se Quede Nuestro,3rtxFFGZ10e2vYBo7PsPf2,Carlos Rivera,39yVoqm6sYFvvqF1RciUVf,Yo Creo,3AprieF2G5BAcPGbeANZ6e,71,https://p.scdn.co/mp3-preview/0c22d5a4957112a379d2b557e7424f48ce4cbbca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Presiento,7nHUD2xhqkehsYk3PT6QDs,Morat,5C4PDR4LnhZTbVnKWXuDKD,Presiento,4AoZ74lY9YRMaPaEPSCxnF,74,not available
17,Destino o Casualidad,02IJFWVjLSM811RsySQusA,Melendi,1EXjXQpDx2pROygh8zvHs4,Destino o Casualidad,6uXwvyYfdS2GQEhTtEa5sP,9,not available
18,Para Siempre,2hut8CKkX5obUCgsbp3RHb,Kany Garcia,69UypehHabb68utzfjAVlV,Para Siempre,0ob1RrPxFuyGMeKqxdf7mW,6,not available
19,"Y, ¿Si Fuera Ella? - + Es +",3vBiuyj6nmAGvkXo2nAwjb,Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,Bailar Y Gozar,06gk3uMtJ9r3ucxBAiU2Ek,1,not available
20,Di Qué Sientes Tú,2k7oWwvj3bGQ68HnsC813H,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,Di Qué Sientes Tú,0rVE9WVqyMwFX4HM98OnkC,68,https://p.scdn.co/mp3-preview/f9563105bf5c8c04a351ce5fb97d806a3891421d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Ocean,6qoIFQfdmaQF9A1gb67tR7,KAROL G,790FomKkXshlbRYZFtlgla,OCEAN,4i5b4YWuMtneUSvQPONwzK,82,not available
22,Ven,3iQ7CuG5xz2IIF4xZcUxyk,Fonseca,53KTldaJ8tHSkYU3nigfwP,Agustín,3IoPgNvM9CTiFg8FvJ0CIn,66,https://p.scdn.co/mp3-preview/2a2a34a130c1ba925073e50d98cb41b8693d41e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Soy Yo,4n8cY8SZgldxSbq9uJ05Tq,Kany Garcia,69UypehHabb68utzfjAVlV,Soy Yo,4HqL9DDTbrqBUFb6Pswcki,67,https://p.scdn.co/mp3-preview/eb9a5251fb04788e0f900300f79224961385e076?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Saturno,2f0Ft2XdvNSMSY5TUlZgEz,Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,Prometo,4qtl6sl6iwC37wRM9lbssD,65,https://p.scdn.co/mp3-preview/9dc4dad5473634c2d6549957a5059eedfda136a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Bola de Cristal - Versión Acústica,0ogvtbXMSK5KHwW9Lmkv5E,Debi Nova,5zaG384VZzAb6AMfEnSy2r,Bola de Cristal (Versión Acústica),3DgFOzU3wienHGlmm8t7DP,44,https://p.scdn.co/mp3-preview/648a5a42c4e101ee6c0c336dd72b8f6cdf1f7df9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Punto Y Aparte,6RiV6DnCbfc0b2KbNvumdP,Morat,5C4PDR4LnhZTbVnKWXuDKD,Punto Y Aparte,36TBAPNsVzBMiu84mlyEPT,66,not available
27,"Adiós Amor - Recorded at Panoram Studios, Mexico",00yK9fIjWQfF5g70TK9vdj,Ha*Ash,5xd2Tg7Zo8755eCy8Gxkp8,Spotify Singles,6vB3HwLeq8ZjQYXUka7QIs,68,https://p.scdn.co/mp3-preview/bd9a6103831eaad41960225912cdfeca211d0d2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Ráptame,0I6syWcqSUsZ3sXJEOIGsj,Reik,0vR2qb8m9WHeZ5ByCbimq2,Ráptame,29gllJ3zBEJxU1IWkgB8Bk,26,not available
29,Curo tus labios - Acústico,6nsuCg6JFynR5IzP4rYK7Y,Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,Curo tus labios (Acústico),0oRwUae6pHf2fHvPnCgIqL,50,https://p.scdn.co/mp3-preview/630d930548da23367f0ad21b871092319eba83de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Porque Nadie Sabe (feat. Nahuel Pennisi),634bnc3qpYP0FEg1216H4U,Fonseca,53KTldaJ8tHSkYU3nigfwP,Porque Nadie Sabe (feat. Nahuel Pennisi),11oNwim2hZw0d4kWPrz6MD,7,not available
31,Así Te Pedí,1cO56bPsi3HSaNFoM2W7nt,Zeri,1ISG0zSleX4gwbBf4AydB8,Extraños,7ARKVwlzBXcHgBKxmm77nU,64,https://p.scdn.co/mp3-preview/3122cd6f5096ee3424b1fdcde25d3489ccae84cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,No Pasa Nada,6Gusd5o0sQD1jmmoQlvNw4,Ha*Ash,5xd2Tg7Zo8755eCy8Gxkp8,30 de Febrero,2OxyM5ID5JYs1wh8hTsJph,69,https://p.scdn.co/mp3-preview/ed64194f852288943a6c79f9563ece67acdb4789?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,No Tengo Nada,2gXclup5H2J9dInrVLFs3n,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,No Tengo Nada,0sUMIXlf7GdaeiEibYJLml,64,not available
34,Te Regalo,5ErcCfdGMmeqT2DCMCE4pB,Carla Morrison,0XK6kT7xcZAlcYrNjOgzJe,Te Regalo,0KpR2Ay6egxk0oMg3zGVZQ,69,https://p.scdn.co/mp3-preview/3e51bde9833feda1f9d887ae8f0c1960d2ba83b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Vas A Quedarte,2b3JxLi8KAiOsD8ehnOxDZ,Aitana,7eLcDZDYHXZCebtQmVFL25,Tráiler,1ayrDfnBGwEtBHjS4u5gHw,68,not available
36,Atado Entre Tus Manos,0A7Bx1u7ufBNclwcfs02mG,Tommy Torres,264nbMzGPSkDZqTY8nXwCG,Atado Entre Tus Manos,4ynLSCZ4KGaB3mIbYHb2dw,66,https://p.scdn.co/mp3-preview/6ca12b9d1bf5237a6c6052250b4b2cdd5583309e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,"Te Quiero, Te Quiero",2fn9C9byd7IWlyOEv7IQw3,Gerónimo Rauch,4u906EKZ3K68xEq6H96OSq,"Te Quiero, Te Quiero",4TSyBqHrKF0wLGTjxVV1dA,0,not available
38,Más Que Suerte,5KUaLrnJZrdUMbggfu7I4m,Beatriz Luengo,23cijmutocNvhM5xkcyyFF,Más Que Suerte,11ltZUM4iFO3N7ZOmVJ5zZ,63,https://p.scdn.co/mp3-preview/bb590838f4272a9cfe5fe667515d514f83ea8d1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Me Dediqué a Perderte,1HpIBHs03kKCxlrPthWXmL,Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernandez 15 Años De Exitos,1XIDdkj7xuSoDDyYseS7o3,12,not available
40,Te Voy a Amar,6G6DiIkasBrTbARK74U7kv,Andrés Cepeda,49Z1AvGeUaBSanPaOmplK6,Te Voy a Amar,5Nbmpy3j7Bsk5Fi2AUSQYh,65,https://p.scdn.co/mp3-preview/bb53db5ee14e82911fd394f9407a9b694e42e8cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Buena Señal,4kpAZKCOW56xfDvVBiIJU2,Carolina Ross,5wx70QuZtxRUIIYek3RSaV,Buena Señal,3J0I5i73vmM6YwBoFltt3e,62,https://p.scdn.co/mp3-preview/fd959c8584a411fc6dca1cc6c2bc2d5b6be6d797?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Lo Que Nos Merecemos,7lBOBU7sTDpEUDyoWFjbA4,Melendi,1EXjXQpDx2pROygh8zvHs4,Ahora,2cx8aUPxZ0GvVJkJdNXeOM,60,https://p.scdn.co/mp3-preview/3963f0a95a0c27d0ba733b09b3cdf8f5243ef993?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Aquí Te Espero,5Vk8en0fUn5FMNFds69M5y,Beatriz Luengo,23cijmutocNvhM5xkcyyFF,Aquí Te Espero,3swpYrgkQbdFjKADwsWAXT,51,https://p.scdn.co/mp3-preview/71ec3470360d241ae08f5851bea04877cc68988c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Te Prometo,37MZQ2hDkRS0NZLgbV46DF,Layl,3QVCBQQXBRKUDpCpa5smak,No Vuelvas,0JCajXtO2AswwHljvKnoj0,49,not available
45,Empiezo a Caer,15P95UWBRfUDrB9Ok8AKtu,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,Arte,37YOrd3yOJva0INlJrNyxf,61,https://p.scdn.co/mp3-preview/fc61c5c2a81f71f0d94426812c58f4588e08bd49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Prometo,4Wc0FFBjYDVNJ3Zx3fck6s,Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,Prometo,07c88Esc2q8pUl0tXADs3D,63,https://p.scdn.co/mp3-preview/e21b1df88028b5caa74259863890e0f1ee0157dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Cuenta Pendiente,2kurCucOSCAu1xo0t2f3Vz,Paty Cantú,7K9rdoOJSiKXoVXPlSkGKT,Cuenta Pendiente,3yNPDHm0BGhP1c00ovnCU0,63,not available
48,Ya Para Qué,7HCZWKJmHITV7Pt5YTQDcL,Greeicy,5dbaLmK5SHLLg8Z4CcTJpX,Ya Para Qué,0w3QTlwt8mDWQfHW9c4CIz,62,not available
49,Aguaribay,4MqumESUz8typsKMAnYCRc,Axel,32x1uogH2zajP85pzZAtuE,Aguaribay,1nkiiEETCwxFUJzZosx5hp,55,https://p.scdn.co/mp3-preview/562ad2a39fa2a88d370d514c61093c02b215d5e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Carmín (feat. Juan Luis Guerra),7feNblkR0A56vttsAGTyzK,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,Golden,6bm9EpUNvQ9xMglBJGRmgS,67,https://p.scdn.co/mp3-preview/399ab2ddd1c4768d262d8e2fb8f032d6e63ab118?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Solamente tú,7sRXhReWmJF5pqyg3uUTES,Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,Pablo Alboran (Deluxe),1PfEXmG8ioEwsj7qDaCQXc,69,https://p.scdn.co/mp3-preview/0a1fa996c49394866a4635bdebfd7c0265019f8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Esa Mujer (feat. Alejandro Sanz),52Xl7PW7hP2lMv8SHk1Ct5,Roberto Carlos,7fAKtXSdNInWAIf0jVUz65,Esa Mujer (feat. Alejandro Sanz),2RuVw6OpOCpmcKrGkkvU8O,52,https://p.scdn.co/mp3-preview/08ea6b19603c72c9c06d5a3fe1af2a4cd96f2f63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Eso y Más,53MFBdQBmcu12EKQShFzKC,Joss Favela,0EocQPg9ycs21gcvaVm9hh,Eso y Más,5DT55J5XWcnb9exg178idb,59,https://p.scdn.co/mp3-preview/0a26d910812476fe51a386403455eed1b2211ee4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,La Chica del Espejo,0DBhrAYy27217WuTI74h92,La Oreja de Van Gogh,4U7lXyKdSf1JbM1aXvsodC,La Chica del Espejo,1m7YhF81fcAH86cTHyMOGs,52,https://p.scdn.co/mp3-preview/17e1e985dc38e79d2e6161c4d83336e586d0b1a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Colgando en tus manos (con Marta Sánchez),3UI9I3e1g1y5T3SMfdgfGO,Carlos Baute,3smfreCkyJt7bShaTYpG77,De mi puño y letra - Edicion Coleccionista,1cz8fhax6HNiCSE1uuV2Vs,75,https://p.scdn.co/mp3-preview/d516cf9159df2722a3f7f8d4cb117d39c2442b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Tenemos Historia,4v00NVNPRrqj7wMXT0VMrK,Raquel Sofía,0J9JLJmiTXJFvvyHS3Qzn4,2:00 AM,6fi3lhTQuBdlZ2MoyiB9yi,56,https://p.scdn.co/mp3-preview/63064857429466bdba343415112483c6ce0ad54d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,La llave (feat. Piso 21),0zsIsDBqqMnplfQ4lj02Cj,Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,La llave (feat. Piso 21),7b3yZdzvxRNrsfkbSrtIRl,62,https://p.scdn.co/mp3-preview/173bbf000083ff89c63f73eed2641fddb0a57270?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Pienso en Ti,0l75C1fGFNyRXLvnpjrbNb,Joss Favela,0EocQPg9ycs21gcvaVm9hh,Pienso en Ti,3rvuoO5JjvWDbvDrBEdAFP,22,not available
59,Rosas,4waqcUQWdj0yH26STWl2Rq,La Oreja de Van Gogh,4U7lXyKdSf1JbM1aXvsodC,Lo Que Te Conte Mientras Te Hacias La Dormida,1Atbkyir7YdfpFYWCnRTFp,74,https://p.scdn.co/mp3-preview/7151ec049cd07e786d2bccdf5b58d277802d7099?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Si un Día Vuelves (feat. Abel Pintos),4rhSORCj3M4rojpqnZUErd,Beatriz Luengo,23cijmutocNvhM5xkcyyFF,Cuerpo y Alma,3Y5VB4scWDZAqa0CxD3uP9,56,https://p.scdn.co/mp3-preview/d8d0ffd46f2833c3304457db2e353259801548a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
