Classiques du Rap Français,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
28,Touche D'espoir,2Nq27QSuOjGZuhCkwdteGM,Assassin,5zbzDats0HBBPuir5QWKWm,Touche D'espoir (Réédition 2005),0C97wD0H0E4ZTBbsBTys9X,38,https://p.scdn.co/mp3-preview/1f78407533dac84c46cf845a9950cf2b88aeed2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Banlieusards,461K9NwFNjnyZBtrn1EIlo,Kery James,5ydAcIK2KdpBIbL0yGFJle,Banlieusards,2DTuHdlwyaDJyNW2uUygGv,0,not available
30,La Boulette (Génération nan nan),1Vf09Cxf2jqSkU6sfueYAq,Diam's,6379rD5bSEwInazkKhZ9DM,Dans Ma Bulle,1ZlqqgXvzlq8kZBKsY0hWO,61,https://p.scdn.co/mp3-preview/4a9d523b5cdc9e128f88b7aebf974cefd04f39c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Regretté,6W1MYXhhqO5IuIovuXp7Na,Rohff,32UhRcgdXO6LdLhOpfIdxp,Au-Delà De Mes Limites,75ATPVeLbZcI8awnPVNAqK,45,https://p.scdn.co/mp3-preview/c6cd21d90b177d0a532359514ce95ff91dd8de0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Sans rémission,7njnsewQzFssYI6F1RGwhn,Fonky Family,1BTmMBPzv3zEO3f6ilFoct,Si Dieu veut....,7faOppIh2FNdRrHjhXw7ql,45,https://p.scdn.co/mp3-preview/83db6cc31e5446b7a2c158623791d6080947baa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Les Jeunes De L'Univers,1p3Xdm0lPy9EQ3OtISAkcE,Rocca,7yz7tVF8i1Jr6roiq5CUuD,Entre Deux Mondes,4glAMOQYgESV2rePwx0pEK,39,not available
34,Nés sous la même étoile,66ZtqKhYSA8XyPr0aAUFsm,Iam,56Q6weEROZ1RsVrTak8Bm7,L'école du micro d'argent,3atPIVCVIIgak6KeB1ANnK,52,https://p.scdn.co/mp3-preview/30928e55b5c88c50769af85b6a97a85792c5d5c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,La formule secrète,5ew2u81CX8tCQWL07BbI7U,Assassin,5zbzDats0HBBPuir5QWKWm,Perles rares (1989 - 2002),1eZXBE8mRAAjxmGhzLTvDj,16,https://p.scdn.co/mp3-preview/bd5b0188d7db0babe87d493915b343c5728b964f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Sacrifice de poulets - Remasterisé,7KcQYUU14y4UGOaHW0r2T5,Ministere Amer,01vun3lwrSoQ478gOotOe6,Les meilleurs dossiers (Best of),0STSquNUDMet7r9DQcDbeQ,35,https://p.scdn.co/mp3-preview/12f287aae687cab02a67ebc480768f87c3720885?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,"Mon texte, le savon",4dJB9vWpBhhtTOEBiKJvau,Akhenaton,4ddg7PH5OuSossiSBWgueu,La Face B,36p4RiYunWHIvToknXf4ru,32,https://p.scdn.co/mp3-preview/ffa1dc5993f6fd5628cc5388586dc5580feb6b92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Comme Une Sarbacane,1zJRq0TXDMbJcAPBAv5n1r,La Cliqua,3y2HuzAEauV9QXE9cFJpIv,Conçu Pour Durer,3dnMFxVEG0OtKm8XuWChBB,27,https://p.scdn.co/mp3-preview/4e74760e0fcd7cb937d1ed94e501b424bb513c1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Tout Saigne - Remasterisé En 2006,4YtpY8Hv0bwv84vfvONOwz,La Clinique,47NHcwh7V1kVlxr9Co6k1r,Hostile Hip Hop,4g7S5MgKfp8d09X98KAUEm,42,https://p.scdn.co/mp3-preview/e684e7c07e904aa5a39abd729ad49812a993dee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Le maton me guette,0kcF96pmA8PX5ClqyFpEtG,Passi,41o2A93SPxIUxsy5HQjvul,Les tentations,6x6I3lpDmXNGGrRdaC6ktL,43,https://p.scdn.co/mp3-preview/ede6e60b2ca7fc1cda8ae57b4533583e6b830ee1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Repose en paix,3SDWrm6cXovs8niVwovPfe,Booba,58wXmynHaAWI5hwlPZP3qL,Temps Mort,4ZzEzKOvjm8AZxPb1iQaZd,0,not available
42,Civilisé,1zCFKBMX7lWA3RnRSXEzvi,Lunatic,2T94BUd6X8J1G5EfJj3hZr,Mauvais Oeil,0qc2G99LJTbEeSBuTcVqZ9,0,not available
43,Retour aux pyramides,0O9ArnwRTo6Ky4Wd7Gdb6E,X-Men,0u8fuhFdG3E8WKsqQXy63B,Ma 6-t va crack-er (Edition spéciale 10 ans),6901v9WqjLiVj45rJEagkU,38,https://p.scdn.co/mp3-preview/c5077db2fd60e66a11a8f10ee7dda626041ba758?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Dj,4D0dgZLZWkaWG25NBuxOfS,Diam's,6379rD5bSEwInazkKhZ9DM,Brut De Femme,36WsF1tlYfQtOSiU3Tozb7,54,https://p.scdn.co/mp3-preview/3076c01e9b03fec8293c61bc442e707baf38bc80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Sérieux Dans Nos Affaires,0ujIRGcWdKW9HtukNs9j1Q,Assassin,5zbzDats0HBBPuir5QWKWm,Touche D'espoir (Réédition 2005),0C97wD0H0E4ZTBbsBTys9X,30,https://p.scdn.co/mp3-preview/d6b608ef38a83158c03d4e92e1a1f3138adfed7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Art de rue,6Xo7NrY0dDj6pQQ2XIph1Y,Fonky Family,1BTmMBPzv3zEO3f6ilFoct,Art de rue,3vm7lXWJ4HxzKEVZ6hhg8o,49,https://p.scdn.co/mp3-preview/511557c1f3386cacd3569263d797e6f3f1da423f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Je danse le Mia,3vTgQBHiLsJ40XpQlQxlhG,Iam,56Q6weEROZ1RsVrTak8Bm7,Anthologie IAM (1991-2004),2jEJLiF5RE2JSCju5x6Avw,8,not available
48,Aiguisé comme une lame,4JTviRADkTsRQiP2XciEXn,Raggasonic - NTM,6bqUlAEF6W29zSunM9jJxs,raggasonic,2X2celqGIyavwzarmQaPG7,41,https://p.scdn.co/mp3-preview/28eada16a65427010883f0d882a1afc054be2f80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Les bidons veulent le guidon,5EsUqhgS7tFtJzU3cMraLG,Ill.,6QCttAKxcVfrZbxmN1I8RP,Ainsi Soit-Ill,5Qt1hdXcb2bF5fOrw1WuRZ,41,https://p.scdn.co/mp3-preview/08c44e782a65976734530bb34a920c128cb4f589?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,J't'emmerde,2oHYUp3r57OvTt8ZyH5PDc,MC Jean Gab'1,6IYlGuJXicyjCIGRDNxSlR,Ma vie,4OkLWNLZfLSZEWoIfrgjow,40,https://p.scdn.co/mp3-preview/6fea76cbee95c83d930f3d7a05dc14ab9c7700c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
