Rap in deep,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
17,Wem mach ich was vor,3iCLlhyVp6772vUecjPRji,Tua,1GXnXJCevXK2b7qDAwdU5u,Wem mach ich was vor,3CxssZMgOsNQo4Vw49sYT9,54,https://p.scdn.co/mp3-preview/1d6664dd65734cf50f9be12c9c63550cdc786027?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Supernova,58pfccNIRzIHDZVrHMOq3q,Marteria,3nDNDLcZuSto4k9u4AbcLB,Supernova,55vwB2rzUMiLzupHykME86,53,https://p.scdn.co/mp3-preview/03ef5d611f9a868fce5d0c76ad85152d786b1a9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Villa Auf Der Klippe (feat. Trettmann),3WmMLDQJljhKRPO4p0ZYSr,Max Herre,7IpWQKu80qQvyer3LO6SW3,Villa Auf Der Klippe (feat. Trettmann),0e0aljT1IHqTKfFGDclpHT,60,not available
20,Wilde Welt,0x8cnjsTAGxdqxXtNoZ73B,Chakuza,7sGj46FhEm7c19hArcGtlY,Wilde Welt,2I9kSRB3lIFuTdC05NlCXv,46,https://p.scdn.co/mp3-preview/ee9ff3511f6878852b16b69a6e6904bdcb8e0234?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Hoch,7rWyCELHaVR08xOWupCkiK,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Erde & Knochen (Deluxe Edition),7nJZZgzioTZRpidBYPqwHO,59,https://p.scdn.co/mp3-preview/1db105d2590e2c4be8011dc6001c12dadbeb8c3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Meine Welt,0pDXY7Z38zb0YC2uh2JQcI,Prinz Pi,3OYM3jjPVR60kOqmamRRgk,Nichts war umsonst,5ychJJ8YoaOtiCGv8HElAP,50,https://p.scdn.co/mp3-preview/bf0ac1513540580ea32f10237e154f30e4ef9cc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Suizid,6c1N7X3dDuHz3GXUHwVcNV,PA Sports,2qMezKrAKRh2Z2uR3fCqHt,Suizid,1nZqIqCyQrFNjUMy0Kgnmv,70,not available
24,Ich will vergessen,6loP4mG1sXbsmQu56Afz98,Fard,7iZ5x5fwRwROoX3iRWpVgN,Alter Ego II,6J6vIjnNsLp1Z0bjI0xTrt,55,https://p.scdn.co/mp3-preview/6b7506b58898f885ed0d6cf6008cf0f667c631f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Kilometertief,2ZW4tlba4gr59s1VBUt2aw,Perez,3O6JEvN76o3iifjyTctGgr,SO WAS WIE EIN ALBUM,2m2Ab1hKMl0xIWzN98djCK,37,https://p.scdn.co/mp3-preview/778d20110239aabc4e80e13b3b9e910298e3fd2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,"5 Minuten (feat. Cro, AnnenMayKantereit, Trettmann)",1rciHe0jRJnF3J6CuAwOH0,KitschKrieg,5tHiL8SKSaZGMBUPIiSmX4,"5 Minuten (feat. Cro, AnnenMayKantereit, Trettmann)",3w1aO6cBxb3HoLgyUxB8qz,67,https://p.scdn.co/mp3-preview/c420e2d567796dd6cba7acb8b38f5a572fd7749b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Ewigkeit,6mSVTMmaml2QvFEfXgmCzz,Majoe,1a71mkqZC54WhePSbnq7RK,Ewigkeit,2aCkoAi0TMcrXivLGmtDo1,58,https://p.scdn.co/mp3-preview/07996922b2dad1dafc282ba19405fdcc650dbfd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Warum ich (feat. Moe Phoenix),0mtaT3tbw0rTY6qIkTxpRM,PA Sports,2qMezKrAKRh2Z2uR3fCqHt,Warum ich (feat. Moe Phoenix),2AqvkuqvH0z0MMPdB34pIQ,54,not available
29,Tausend Tattoos,1rGZd7EVl4aOClpzDLNPwy,Sido,4Yttlv9ndGjCDCVLqM7ACq,Tausend Tattoos,7mxNuldTYg5SScgpyNsMd5,67,not available
30,Timeout,483rskmuo4E3cKyUBxvohi,MORYZ,0fnO7GBpawb6ELmtKvfGpY,Timeout,02A1SiuzO3gw1OOLoKht77,35,https://p.scdn.co/mp3-preview/c77cd33898d4f870c1f24e464d6cfd2c5e5debb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,BRUDERHERZ,0CRjn1YkWU91lng9x4sWHa,Massiv,33Dtwad3snCG92mhmi17WM,BRUDERHERZ,6XRmTwOUMdrOy6C8QZZgYg,52,https://p.scdn.co/mp3-preview/05433f652bf5ed6dbcfb59136acbb5a9ffbf1076?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Kein Ort,6bttMvbYkMxp4PlahARQa7,Mädness,7r29hnM0AiX10xqC7WKXh0,OG,2MXvXskaqVDn19oWcO5fKb,51,https://p.scdn.co/mp3-preview/3c13a8091f6e66912a040bf072d994fec81a6d02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Heimweg,46qU1V3tZy1ctP4k8JDPwf,Prinz Pi,3OYM3jjPVR60kOqmamRRgk,Heimweg,3WfvJM8Er3XkSY3Pspgkg3,58,https://p.scdn.co/mp3-preview/2e84ce7c9f8b6432d052414e6bb5f31d927c0218?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Grauer Beton,20VvQEE7Fxuh7iXZszIQNp,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Grauer Beton,1PoUs0CIYvUYqW6X7Ut5FF,1,not available
35,Liebe macht blind,4OQrGlPLEcugmbNS5J8xHF,Fard,7iZ5x5fwRwROoX3iRWpVgN,Alter Ego II,6J6vIjnNsLp1Z0bjI0xTrt,53,https://p.scdn.co/mp3-preview/4473cadc5f67ccfea6eaa1fa366d0d14f7db59e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Genau wie du,5KugP0fInIKgxqymtNIOQC,MoTrip,69u5rPwWBKP7pJHpCGB9O5,Genau wie du,0FK6Xj12vvK8KxfiDLq2Ie,53,not available
37,Da wo du herkommst,4PQoiQjfemQl1wdEEPtTdU,SAM,159dlgZwWgkgJXpmU9C44W,Da wo du herkommst,5s3zZGELd9y519RJGINhs9,2,not available
38,Kugeln,4Hrd0WAAqqQecGlU7ZJpMk,Perez,3O6JEvN76o3iifjyTctGgr,Kugeln,7GVzeVTkXz3Nwo1sPO528G,41,https://p.scdn.co/mp3-preview/7c41859437e7ce62e0ee4007ec11323ae1e0c0ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Stolpersteine,1rn5uhAxbKLliAPwOYKoVj,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Stolpersteine,2GIwadlGEMyzR12xAcuePd,58,not available
40,Nostalgie,28coSh1PJ51UgkGsovqVdt,Fard,7iZ5x5fwRwROoX3iRWpVgN,Lost Tapes,6pFcpG2HomsBu7QqRYyXyW,55,https://p.scdn.co/mp3-preview/b41bcbebcd58b91868b74296c7d5ff7dc064dd8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Schutzengel,1AhCWp3EdGnOZdp41wMOI4,Azad,7LQLsKs1Qulq0BxYdhRnBU,Schutzengel,1kFpMgx0K19qJrQmZOPD8N,51,https://p.scdn.co/mp3-preview/ee7d6e95e93adde16f371e49fe8b8ca7d3c31619?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Delorean,2J8AD51VCucMpedsi8hr6V,Vega,6F9QTYrJgiLY80BZGzWIHO,V,1LONwQD8QTDswOL3LzDzZ3,47,not available
43,Venedig,5y5IhxcU44QOwPfcmuxu1y,Montez,5ZY4M2aGiTaZQEP6HfqeJc,Venedig,3ed5WnBtOEgVEvZeQ8h5XH,51,https://p.scdn.co/mp3-preview/a49821526d6e71a753d7308a6674ab62b593dfb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Du fehlst hier,5bVnyZlYUzQ46PIw63f1WS,Pillath,6ZhSAhthwyV6WoyuM4CSbb,Du fehlst hier,01UwBX8Awj1ejPYEB2832C,43,https://p.scdn.co/mp3-preview/d246bb611f08d81e85978e9602de8e1a39cfdaa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Immer wieder (feat. MoTrip),01q4ydDZhk4xdVb0M7uvgu,Rooz,22qcssYcY9HKu3mgcXXEGq,Immer wieder,0Cblqeq9eWa5KmO6mLW5VJ,62,not available
46,Alles für mich (feat. Moe Phoenix),337IpkRKsb4oEFnsU84eLX,Fard,7iZ5x5fwRwROoX3iRWpVgN,"Habuubz, Volume 1",6GMwPADX93UZF1DsSeGXNW,57,https://p.scdn.co/mp3-preview/469260d7695f95f28a8f09156d3ad62510557243?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Bisschen wie Kunst - Piano Version,4oMtf4L2GLsPptPi6ifGVU,Perez,3O6JEvN76o3iifjyTctGgr,DETOX,3zks6XUujZ11Gf2jA32h0f,38,https://p.scdn.co/mp3-preview/f5ea39dd7289a14d35201cc914747cfa916ce85a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Oh Baby (feat. Jahmiel),3EoTBfk4aqGA2pcUISF2BM,Miwata,5RwRoCyyMD8TpyPaRAa0yr,Oh Baby (feat. Jahmiel),557rx52nrgPbi1L1IfHFCF,2,not available
49,Alles Klar,3KpmymNUHgqcwptwGG1kvl,Chefket,5cfZNNUl6K82ZIWoWYSbcw,Alles Liebe (Nach dem Ende des Kampfes),1bCLFmg0dSfnEuMp6mJuyk,41,not available
50,Jedes Wort ist Gold wert,42jwAQgfw7GIYJdfxjhnGp,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,Royal Bunker,6QuWkRmCPHTXIJabMrLuSt,54,not available
