Karaoke en Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Mi Historia Entre Tus Dedos,4X4eypK7U3nCtOegosnciD,Gianluca Grignani,0H1InhXaXQPL1aj0mvHemU,Destino Paraiso,5BegiOj46Ggq4dbLT1AK5d,68,not available
11,Loco (Tu Forma De Ser),3ydweVPwq9PCEVJ8WwqT6u,Los Auténticos Decadentes,3HrbmsYpKjWH1lzhad7alj,El Milagro Argentino,2pqscM7JlS6XR6fk7Y8tVZ,71,https://p.scdn.co/mp3-preview/367a77d33470fffe30c71bb72b1a38e833a2830d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Corazón partío,0wQCKR9OFjYu5Kzrk7WivJ,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,Más,3MfNbOJuFb5H4CjrT49oiI,75,https://p.scdn.co/mp3-preview/cee7191f8b94d18b77bf6a6382d34f5418844095?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,La Bikina - En Vivo,1jxO9AwMqYynDsuMWKrPvi,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,Vivo,2GtCBgC1SYeeb8fcxGWCLo,65,https://p.scdn.co/mp3-preview/bdf0cc2c51d1899e0eb692f6770738767a4eb25f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Andar Conmigo,05iMQqncVBIm4AE26EvaTL,Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,Si,3pNoZEMsLO0HZygvwaXANB,71,https://p.scdn.co/mp3-preview/b6069c739059cab6c3d33e432d4a0fe44f57dae9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Tu Falta De Querer,51cCG7fjfxhi5jbu8ctVzl,Mon Laferte,4boI7bJtmB1L3b1cuL75Zr,Mon Laferte (Vol. 1),2HGv5RokHutNMdBhVCEavW,4,not available
16,Me Dediqué a Perderte,1HpIBHs03kKCxlrPthWXmL,Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernandez 15 Años De Exitos,1XIDdkj7xuSoDDyYseS7o3,12,not available
17,Espacio sideral,7rGadqZ92cyRGmkDDpxAzH,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,Six Pack: Jesse & Joy - EP,3o2ISZrrYHFTKUP3DKuvrK,62,https://p.scdn.co/mp3-preview/559d1334a9cc5069dd413a56572f01ce3ad210ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Te Mando Flores,6OpHDI8lRiqHLqmUIYUxVr,Fonseca,53KTldaJ8tHSkYU3nigfwP,Corazon,7GZadm08rfMiYXhRHlv993,57,not available
19,La flaca,2LsbizbOeNa4x6qsi2jAMb,Jarabe De Palo,5B6H1Dq77AV1LZWrbNsuH5,La Flaca,6mD9lN6mqu4313KpY1RfIp,72,https://p.scdn.co/mp3-preview/de8001a943205b7ac3ebc910633a5e67421e2c41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Laura no està,10tzk7ZRjwnLKd3gjKLtTA,Nek,5mXMQJHLLfym1KyNcDrhoZ,Nek (spanish version),04HNYs9ilzC2h31dq7pVcP,66,https://p.scdn.co/mp3-preview/c45e1adb5ad339f0c53bba9440771a3506bce9de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Algo Contigo,4zsDA31stWMtLveU61hejd,Vicentico,25THA9HUHoxpCT4LBp7UsZ,Vicentico,6Qt9Yiol5QcAEeKPyIQafo,69,https://p.scdn.co/mp3-preview/c0f5ac4114f826a700f47213b537e9da9fda2e25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Yo Quisiera,2GSr8anleCXKLNjjjijoMZ,Reik,0vR2qb8m9WHeZ5ByCbimq2,Reik,2X17BMIMWhZDWHL0UR1LBS,72,https://p.scdn.co/mp3-preview/61728ffd412d24f93f4467e9e252ae11e42ffb72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Qué Precio Tiene el Cielo - Salsa Version,2MnKininlD8bY9ggRNSJ37,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,Sigo Siendo Yo,70XO7jxoVIV9p9IFyjXGvJ,68,https://p.scdn.co/mp3-preview/52985c2b7190a5ec1f23cf8ab27d9ba944310e6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Brillas,6VuUMo1TusnqBxLTnr3hOI,León Larregui,4ClsVDy2g7RKSSlvq8cF6d,Solstis - De León Larregui,6XMk5rlnvEtbOUhUlIGl0R,75,not available
25,Todavia,5wPhERt9izm1T45aFXDWPe,La Factoria,4VsbQvC84B8Z3IsBY1HLQy,Exitos,3oIRbufih3VX2kDgTLnk4X,70,not available
26,Limón y Sal,4DKIsyQvxNwcCIWdryyC9I,Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,Limon Y Sal,1wQBj19J1hgFqJHj8dHq1r,2,https://p.scdn.co/mp3-preview/809661e213e3094c61dc5b4f3f8e91c5782e5abe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Así Es La Vida,3ge3q3Hz0KWhQX5EAQcwEy,Elefante,5oYHL2SijkMY52gKIhYJNb,Lo Que Andábamos Buscando (Special Para CEV),5v3tEjfsPvLN3aDawSSx7h,69,https://p.scdn.co/mp3-preview/d5387f543902180aacf6cf95d8bdf410fa806f1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Volverte A Ver,2ZqFfDwNjKvPu3USx3onhO,Juanes,0UWZUmn7sybxMCqrw9tGa7,Mi Sangre,2HbvQeJXke68tjwOcsj8ne,64,not available
29,Si No Te Hubieras Ido,0ucO4Rk8C11zRrIyndTEZw,Marco Antonio Solís,3tJnB0s6c3oXPq1SCCavnd,Antología (80 Clásicos),66EaV8mdSJpXgZKtdF0DeG,1,not available
30,Color Esperanza,3T07pNAEVr9adeIG9i1ex4,Diego Torres,0LALueHEQunQ2d61fXGeZh,Un Mundo Diferente,6lQH3MxpJygGIGs9mOZUNf,68,https://p.scdn.co/mp3-preview/0fef1398cb91be3b185facc8c38ad0ecc3ea61d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Por Amarte Así,2bvO1KXbUd4vySCWGNqIIa,Cristian Castro,2AZOALDIBORfbzKTuliwdJ,Mi Vida Sin Tu Amor,4b7x5wHqzZETVAPcGIG5nl,71,https://p.scdn.co/mp3-preview/0138e762d1507c49cb3c27a289878a0553ae4235?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Mi primer millon,5fSDXbY8o9pA3TKwAbfwML,Bacilos,1mux8L6xg2Cmrc7k0wQczl,Caraluna,2bM009J81OBNisrMbFwBJj,71,https://p.scdn.co/mp3-preview/ab36714bc501be5f0f128883327dd26e803512c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Querida,7osHjFGYUmIMB6eAiU9HDs,Juan Gabriel,2MRBDr0crHWE5JwPceFncq,Los Dúo,2IlXnGyMzDixqs44RSUObZ,67,not available
34,Dejaría Todo,79mdw3IznNCFsF7R9O2KGz,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,Atado A Tu Amor,3liBiZNxZoEkcv9ooLM20i,61,https://p.scdn.co/mp3-preview/b05392a68e4e685976fba4a8548794917efa2e0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Para No Verte Más,2KeidigK5po1qoREBuX35Z,La Mosca Tse-Tse,60nua3AsVSfADZtg5Hdz3W,Colección Suprema,7mhDLAiRNZmqaP52huKp3t,60,not available
36,Es Mejor Así,2IUpTj26600NxIx6Qh9WVk,Cristian Castro,2AZOALDIBORfbzKTuliwdJ,Singles,1TdVM28RNgqr4EljBVqE2u,2,not available
37,Mi Persona Favorita,70fVcEP5pRrxaIICY3DcPe,Río Roma,2O3v9rCTzLhPFaGaAVgZLt,Otra Vida,3rpgokRsH2ZRK0yqrfOrSi,69,https://p.scdn.co/mp3-preview/160d58b47829f08054406f30491f59e40bd292b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Sirena,6FgQ1jmP02HyO3mM3nk8W1,Sin Bandera,7xeM7V59cA1X8GKyKKQV87,Hasta Ahora,1YETjeIkkvMlKq427v6LWH,64,https://p.scdn.co/mp3-preview/d6445025e54458e820f9be2692812d906e9c7a28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Abrázame Muy Fuerte,2nejvFyJeTDtMRP2nUMt0J,Juan Gabriel,2MRBDr0crHWE5JwPceFncq,Abrázame Muy Fuerte,2ERJFuFlmwOV0bxl8VOtdU,73,https://p.scdn.co/mp3-preview/eae2a6a04874678c1ea5e5f2a6bb39d10ecb344e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Lamento Boliviano,6Pur3hWy6Nzc27ilmsp5HA,Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,Big Bang,3y63u5vmuMugqI8lfuUY3a,76,not available
41,Lloviendo Estrellas,5b00r2xveYfVIOExZJJ395,Cristian Castro,2AZOALDIBORfbzKTuliwdJ,Grandes Hits,6Q2UpW0s9cDeZ59bCd5CYL,64,https://p.scdn.co/mp3-preview/91e5939afbf9b8d4883ef5b77cafbb17897630b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,La Media Vuelta,1lKI9y1DL6QnYTZguVmACX,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,Segundo Romance,2e6Hp6xaTbUDVzcGLNTHm0,72,https://p.scdn.co/mp3-preview/c65d83ea4c1a09f3bae9fd317f19a6d7683e1d49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Entra en Mi Vida,4W6za66pgH7QBbeiU9kS1v,Sin Bandera,7xeM7V59cA1X8GKyKKQV87,Sin Bandera,01vioqAF5o29uDHYhXs6Vo,61,https://p.scdn.co/mp3-preview/22fd33a5e972a13c015c1395ba1efd1a475b6caf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Flaca,1p7m9H4H8s0Y7SgRm7j3ED,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,Alta Suciedad,44D07i1Lk0zFtWHRARMih6,74,https://p.scdn.co/mp3-preview/1d8b25d233f792654ab1e5592926c7451d94bbb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Experiencia Religiosa,4iNQrlAV3gruvMfIXFAKEq,Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,7w85UUVIFW7c0NArompm0p,2,not available
46,El Rey Azul - En Vivo Los Estudios Churubusco México DF/2011,1Kecio0HXknkdeMdQYD4pv,Emmanuel,2DmYtFBKcxb3ajwWWgA576,Acústico En Vivo,21W89hohyAUqNiLMKGYiZn,59,not available
47,Talento De Televisión,3fRIuTih8bzc0vtY9fHhvF,Willie Colón,7x5Slu7yTE5icZjNsc3OzW,Mis Favoritas,44rPp1bnN1eL9ld3QE1t9c,70,https://p.scdn.co/mp3-preview/346b5e523cf40e7658be80c3134bcdb01afc1b81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Destino o Casualidad,02IJFWVjLSM811RsySQusA,Melendi,1EXjXQpDx2pROygh8zvHs4,Destino o Casualidad,6uXwvyYfdS2GQEhTtEa5sP,9,not available
49,Sabor A Chocolate,29OzJTIOTjCgR7fLyEXY7u,Elefante,5oYHL2SijkMY52gKIhYJNb,Lo Que Andábamos Buscando (Special Para CEV),5v3tEjfsPvLN3aDawSSx7h,69,https://p.scdn.co/mp3-preview/2c5ea9ad32ea3188f2ca9ceed31c7fde1264b8f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Ya Lo Veía Venir,55TzaicixkSM6XT23JvIZA,Moderatto,5XsWrYhwadPBjW20qYbdZg,Queremos Rock,2795kGAwtxyI3kQ7pTkRUW,69,not available
