Wochenende,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,With Every Heartbeat,2WZ7k9kEvjipzWeuaMr6mE,Calmani & Grey,1mhqV3TKErQZb0mZDaR0Xo,With Every Heartbeat,2PPJAoUoW58tzLbkSvHNDx,50,https://p.scdn.co/mp3-preview/9186b1c0bbcd769bcf3e1380fddff9f7f63c4ba2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,LIITA,5ZTnfOu68a8wceHVB1UG19,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,LIITA,6V7Krn7g4Egbb8B9eLX9Dj,58,not available
12,Don't Let The Sun Go Down,51KAOQZ0ZLYimgnK2bdSeI,Marcus Brodowski,3U5sS2ernX7nUjFZ9GSxWh,Don't Let The Sun Go Down,2Sj4U8PnLYuzABTfNJrNex,45,not available
13,Over,5epXUUjYiaYGwXoiVV5bFk,Blanee,7zCLvxAS1MLWRfXrXsBBB1,Over,0FziV04ZdSvDuvIARMTjCQ,41,https://p.scdn.co/mp3-preview/1e8b48642242a0575e5ea416bdce206e41272f51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Truth Never Lies,4Q1HcvTHozFOyWQzUTQoK6,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Truth Never Lies,20hcC1XVmHwnG7RQLxU3VM,52,https://p.scdn.co/mp3-preview/cf3d428adaf2e4dafa0e66eb29a56b23dc2274d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Losing My Religion,7C0NmFbuejL7xwBjiRr1Ti,Jones & Brock,21NGSSCu57Zbh4tSgf9WRQ,Losing My Religion,33xzla7ruFsiN2HcgVeh8p,50,https://p.scdn.co/mp3-preview/04a8687887f1ed7e63728b2ac9544f14350b32c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,JUST TONIGHT,7Iz9kowll8u9yWnbOPy3YM,TIM PLVNK,1nZvBVvZi86Bjf40oxsYEk,JUST TONIGHT,6PQiZBLmkvJ5fINMuhTTu5,47,https://p.scdn.co/mp3-preview/c077c102a39c952780134e04e59832509429ae10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Hibernating (feat. Zoe Wees),5d1YcXpaA0meOkkcOJaGgm,Moonbootica,1YkHCcMgZ6fTQMeEQyYKTf,Hibernating (feat. Zoe Wees),31pSMpQjwYqPKE5XhnRAL8,49,https://p.scdn.co/mp3-preview/e1747647da62b31d17637b640e6fb922dfede9d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Seventeen,7hlo2sj0fejYzRwIS7cdfZ,Thomas Gold,1XLjkBxFokuDTlHt0mQkRe,Seventeen,07VTYisyBRv22BwKFFGCTA,48,not available
19,Someone Like You,0gmQSIM2zqcVm9eKm8BkQm,Klaas,25sJFKMqDENdsTF7zRXoif,Someone Like You,6uYiKKaAB5IkxroK9wBt0Z,60,https://p.scdn.co/mp3-preview/024832eb27f56e200d1c37262786a6d0428d308d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Back to Life,24LjGM16ewczPbTR8epM6D,Aérotique,6qOzyug9zoGuMHTmErJ6zo,Back to Life,4d8RSivskW00OVlm5ZftKe,52,https://p.scdn.co/mp3-preview/5a557d36db434ac1fff9bcbff880c6c14212237c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,It's All About,0XO3RZYuYKsz0cORoVlQOB,Rooftime,4QZjx3AfLqJhGYkmWAEUm7,It's All About,08ibtOTy0W9Zg81nn4VRmW,51,https://p.scdn.co/mp3-preview/3ddab35cb1d4d1c1cdf33f8946860bbd1f1457d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Lucky Ones,3XQRNNfOG6lHP7yk4DfghU,James Carter,5344K3N7rx7kw1HjO8psuq,Lucky Ones,2cqYRLeCq4x9HtbCv8wkqc,52,https://p.scdn.co/mp3-preview/01bedb53e774436cee42ce9d2c1621ae6187a7c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,All To Me (feat. Lola Rhodes),4cQD7ykxaVNIWml3GvNZwA,Deekey,1sMpoues4n6d0qXFN7AHdz,All To Me (feat. Lola Rhodes),0yysudOLR6lHpxQVmiivDi,44,https://p.scdn.co/mp3-preview/9c809786bd9e3cf45e3172cac8a127c8f87132a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,So Brave - Radio Edit,3w04q0kDsjpOnSMYlAwovd,Blaikz,0uqlT7M0lAL931lCyQLkde,So Brave,4inlsm5tAUXRjgDP6GGn4B,42,https://p.scdn.co/mp3-preview/b47a8192972117e58b5b7aad037f30e3d0c74fe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Don't Believe,0c06UPbZy4YaftC2g34b28,Max Fail,6fyLFM7G6aSFpZ1BUUDCLf,Don't Believe,7ICSHlnjCiu3Jo5J3GJQzL,47,https://p.scdn.co/mp3-preview/be868e6eee340da5c4b728c11c1ad829d0d39865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Try Again (feat. A7S),745LUoE5rQZ51Tz4WnBoNp,Tungevaag & Raaban,4cSYNpczcvTUpnPMFDLsIc,Try Again (feat. A7S),1u3cv5nL73WeTFy0JV5H9F,62,https://p.scdn.co/mp3-preview/c59a2cbfb3a8daf0dd67b96dd481a71c7932e2a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Empires,0KolR78aYglcksc0W0JAJJ,Sons Of Maria,2SfhiNVhk8w8xCQ89P3NPU,Empires,3pynK4RNWjWAB3rYbcbQ8F,51,https://p.scdn.co/mp3-preview/877357e2eca2504d5e29f1dda924a7d405300e1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Sun Is Shining,2AO4S1Wq3B8kYfzULMeCIh,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Sun Is Shining,3jBSX66cVMJ2KqHDuXBtrL,56,https://p.scdn.co/mp3-preview/c34b733c3841398997328e64dfdeb49fc45a15a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Geronimo - King Arthur Remix,197NhaECmu1vdkrjrOZqVI,Max Lean,4sOc3KgWiki8GMnvxYH8sh,Geronimo (King Arthur Remix),27r405GsX7m0nkQ6xW8xbc,45,https://p.scdn.co/mp3-preview/0121907338e82c87e6b0af28c0eee981a9200b6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Lights Go Down,4lSLtHGwXLZOaOCrI6QKDV,Syn Cole,6i1GVNJCyyssRwXmnaeEFH,Lights Go Down,5v3tcI06N27PUMa9IKIlHF,60,not available
31,Honey,0tz3BqpRlCcD6S0zH7LqVP,CARSTN,3Wb1mXnd1hXkGwys5m54YC,Honey,7gU2tRfvAzOlsFNQldnuV8,52,not available
32,Sun Comes Out,4wfJt0r7lGcC8Fd28Wkr4f,Hallman,6lQbKezHkug0aJSkAjYYO5,King of The Sun,6NJIYxgReCiiCxN1AzbE0g,53,https://p.scdn.co/mp3-preview/8da733becd33e18c64989eb5b8adb4fc794d7ba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,All In - Ostblockschlampen Mix,2zRFPRWcIBBlTvvn34sj2o,Eastblock Bitches,5ujBuZtDUrPORHkAyQJTjP,All In (Ostblockschlampen Mix),0x6Wk869TKqVPhuzSUXEye,51,https://p.scdn.co/mp3-preview/6c7a4beab4cdf9a0abd6611f3b8cc93157735cdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Faded,1t6X2jxfSeuV3thqKc0o4t,Noize Generation,0KETuRn1Qq622O6Q0WN1r9,Faded,3SUk2hKY1iY36Raq1T0Y2v,50,https://p.scdn.co/mp3-preview/1787ee90fc5a6ece465b6c7e2c69dec8592a3c34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Walk Away,2ijkXuZ7XQxe2ICFVcnITE,STVCKS,1esyIum2trtiR34sliNlvN,Walk Away,3NYdr8XnRK8FnJxoIALcAv,46,https://p.scdn.co/mp3-preview/25add662b362aef634e862980212fba380ecedd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,SOS,6nDKrPlXdpomGBgAlO7UdP,Avicii,1vCWHaC5f2uS3yhpwWbIA6,SOS,7Jx7doYIXITyR2LQB0Hvbc,50,not available
37,Know You Better,5VrSVEkPSHpWOn3stPrGWE,Stadiumx,0DRf6JJDQnRnz0Yp209CmH,Know You Better,7eJxrkuDWiel2lPQgU33nt,53,https://p.scdn.co/mp3-preview/84bf1b1f3a3cf822f8f80c8216bd26b94b1f4bed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Julia (feat. Soran),4qHQEsFfNDoq5c0FXlREL8,GAMPER & DADONI,6HQ6vf4AloXyVNdyJhrX1J,Julia (feat. Soran),17tOFnReEgt8R97riMgvLC,59,https://p.scdn.co/mp3-preview/90b6a1c33baf881b86f9bf8a708213cd38b3668f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Let Us Love,2Ln8KzONjBfBYoap9lNh7W,Topic,0u6GtibW46tFX7koQ6uNJZ,Let Us Love,2znIiVu8XHg4Drlcctgmzs,61,not available
40,Somebody,7CIx6zasWwRTzu9TmuIzAN,Jonas Hahn,7tBpLbevy1QHXITbLo5SIn,Somebody,6Uh85ALlE1rEhwJ8lQCEhg,48,https://p.scdn.co/mp3-preview/2b1c23f4b283888f1223a16fb767146f39ec2c38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Hit The Ground,7qUcpBXMYDrDw23CtQOraF,Aérotique,6qOzyug9zoGuMHTmErJ6zo,Hit The Ground,0AE3cDJx2yT1thkq0emXZL,45,https://p.scdn.co/mp3-preview/1ef4f831266247e70c8406e8ee40d852ad2785ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Don't Give Up On Me,5hw9RzFpyZqkW7ADN2NKeO,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Don't Give Up On Me,17zVhrzfIc7Fb5FspAahe0,60,https://p.scdn.co/mp3-preview/bda4fed9cd2041e0316b4f21617f0c1187d7a04e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Deep Inside Your Love,4RYskrjQ56quYK8ITVY2qV,twocolors,7ACEUD7UsmmXrnj4OLt8f9,Deep Inside Your Love,6rKnZibP5ep5F40pBHJw2C,36,https://p.scdn.co/mp3-preview/ec28e8afe30bc9b84cfadccaf4201418b3361c70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Say My Name,0sZR0i96GtoJEP8N8ujrKs,Koni,3BETdCqKlraxPwjzH4JUIB,Say My Name,0Hsab4pZfROgtvJXrWtu6n,58,https://p.scdn.co/mp3-preview/50e202e31bb760900f4b53054c23786995f6bcf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Alone with You,3rMu51ZwOmmpHaHXXngJZ0,Y.V.E. 48,5zSWGyWE5d0PYaYrtdVwOz,Alone with You,38Jyzxxtsm5XIp3skoPWY8,54,https://p.scdn.co/mp3-preview/72a9d75ccc1d4f05c0fb8bb392550dcf5631865a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Overnight,4ox38ZsL2D3SeiVHGGjBeK,Aérotique,6qOzyug9zoGuMHTmErJ6zo,Overnight,5AaJHmurV821y3owWU75FE,43,https://p.scdn.co/mp3-preview/5bbe7816aa69ec88f012b896ed78aa17735b7069?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,When We Were Still Young,14VpDEKSX01feZ0Tt9kc7w,Klaas,25sJFKMqDENdsTF7zRXoif,When We Were Still Young,593mhCmRU3NrGGKcLCsTuV,57,https://p.scdn.co/mp3-preview/fb0c79b59a099dfaa79f262d119226bc8e997896?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Busy Bye Bye,40lC9xLPSEpWCYcQeSYOWM,El Profesor,2gTcdmBwgyh3EORKIXCzlw,Busy Bye Bye,1WiUGZqxHwhEPdEkBFbLWf,52,https://p.scdn.co/mp3-preview/4b2a701d3d5bec5a863d1c0b64fc20c019aafb85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Brave,0GRoERSBBky3YgdKW2w2Vc,Don Diablo,1l2ekx5skC4gJH8djERwh1,Brave,1vlt3ZZeHbtRWKOFu45TEJ,70,not available
50,No Way,4o18qnKccRoxfXfWJfDYch,Jako Diaz,0N5xjvZDyBf8kGuYCBJNJz,No Way,2t4lYAx0dOt7z0cJp0KF2X,41,not available
51,One by One - Alle Farben Remix,3d4opgagC9pd2fhDL4HOC3,Broken Back,4nx8ehrFiCOmWgebUKshDV,One by One (Alle Farben Remix),3lI1jWGRWlAkIST52KaOCy,55,https://p.scdn.co/mp3-preview/21548d72c7aada146a10d111c1f9d77860daa913?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Skylines,3cOtbSBKncMbTioYNuk2VL,MYNGA,08U9qk0KByTwtgdfKr7195,Skylines,2WnEAAkQltFz8Qkkmxltpk,42,https://p.scdn.co/mp3-preview/361e34049c24ac8355c842b3909acc32b1a97755?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Sun Is Shining,5Ea0SrK8cEebWaGaqlU1Pa,Tomas Skyldeberg,3yeLWKlxZaq5grWz85s0Ef,Sun Is Shining,5fV0yY1W8PQQsLVnaObn0K,42,https://p.scdn.co/mp3-preview/dd845bff8b3603ed3ce22955ffdf8c35d3f9034f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,On My Way,3fDTDf6XRXgrSR6DpXLS9E,Sophie Francis,0NQJm4Wlz3rrDJGlQ28L81,On My Way,091VRzGkdNPwBHmVkKMw10,59,https://p.scdn.co/mp3-preview/e96865a435da69504353a1ff440243254d7653b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Find You,4pRgU9tlDnPVQV27xOOryV,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,Find You,2yK7su2tZlws4MJfIvDXeK,25,not available
56,Blame,7goXCLNtleFzhNdzwo6cX0,Dayne S,2OWQQKizLqny2GKSvqfV9h,Blame,218mHLO3H1RsY3678j9p0n,38,https://p.scdn.co/mp3-preview/0bc8bbd98aa048708b5cc2d6bccbfb5788fd0f97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Birthright,4bmZEbZkt0LuV2SCQHAcWo,Nora En Pure,24DO0PijjITGIEWsO8XaPs,Birthright,0bPmYIl8AIHS6SZLOdacJ6,51,https://p.scdn.co/mp3-preview/ad582530e4ffeedde4a0dcfe4f73795cb34575b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Falling,2SfkQzlQsDCEP1xHASoPGJ,Wahlstedt,7yOWqfe8iP613Ne5SV9XPP,Falling,3txCGyy09BTKqD2vdNwUZ5,51,https://p.scdn.co/mp3-preview/b0f77116ddebc0a89481acbf01b6d28a0355a9c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Home (feat. Bonn),4aTtHoSBB0CuQGA6vXBNyp,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Home (feat. Bonn),1cL51Zp86zgzMDTXRiq8w9,77,https://p.scdn.co/mp3-preview/74145f27bb06406170aff7bc7b0f377f8e90ec1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,MEDUZA,0xRXCcSX89eobfrshSVdyu,Piece Of Your Heart,0agqVZjOqVtqHkq3pTFPXb,41,not available
61,Bruises - Steve Void Remix,4raMIjIjMc8JohHth7l9lG,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Bruises EP,3bAq5agU2IUDfDuO4w50aR,68,not available
62,Waiting for You,2L0wPdpLIZBSMmkS8RDFtw,Y.V.E. 48,5zSWGyWE5d0PYaYrtdVwOz,Waiting for You,3p9GXL95N0rNtU2t0bqXPS,60,https://p.scdn.co/mp3-preview/9ba15a1b63f17eb5e53aee2fe55cc5f1af262568?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,My Best Life (feat. Mike Waters),5kldIyD365H9iq8Cz1Jb5F,KSHMR,2wX6xSig4Rig5kZU6ePlWe,My Best Life (feat. Mike Waters),57lxvNz7Fp3hHNtXspUkjC,67,https://p.scdn.co/mp3-preview/e839b590ded878bcee85ddce726794817aa2ebc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,On The Beach,2nNRWUZBeGLuxegmFhJeCZ,Jubël,4FcZfItjVIsfO9TynErl7X,On The Beach,4SxQPH2WUVZbnhLPwDQuQT,67,https://p.scdn.co/mp3-preview/e0adad0ab09088c1c7ee3c8fd45512c7e2684529?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Humans (Let Me Love You),1IB1GFSTgmeecjscmAJ0lW,Sick Individuals,0XqFDQJjqW5PfhfBCb53LR,Humans (Let Me Love You),5L7tRsDCBk9fXodzcpUksI,62,https://p.scdn.co/mp3-preview/aadab6c7e2ad8bd52f18ab1e1e897675e73247dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,All Night Long,6RVHqpGf18CX4OJjCCAx0u,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,All Night Long,1TGQx5fMjrUB1FJUsV9UPP,25,not available
67,Never Alone,4w3InOZmItJiSlhnkr3lv6,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Never Alone,3MdfIe4hKDL59tOpVwC7DW,68,not available
68,These Are The Times (feat. JRM),5YN0zHycJ0Yxz31A5QsVov,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,These Are The Times (feat. JRM),2OkqLVAw949KZZ8lgMMIdj,75,https://p.scdn.co/mp3-preview/86a231f4cd39bcf8058c94b3e89e1e49799c7c54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Alright,4QmX6NWDXToguEWGirkAA5,NLSN,7vO5wbzI9RdVYlOGFL2ofk,Alright,64SR9PCNseFfI0nQhAJGOI,46,https://p.scdn.co/mp3-preview/a487b22cb75ed7c9ea49de41e12bf2bb21f91422?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Found Me (feat. Maria Hazell),7ubEV4AIzzuaGKnl23GhjR,The Him,5WdqBAQhGFCrZvBKXiPIu7,Found Me (feat. Maria Hazell),35R6pw0z5UDKdk5wjN5o2u,64,https://p.scdn.co/mp3-preview/089d80a67c4667bb74542f71dbc2c5d5c035ace2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
