Rap in deep,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Nur ein Grund (feat. Jah Khalib),1t7cJh7t5O5pgwkjZJv8pq,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Nur ein Grund (feat. Jah Khalib),7qcEskQXNPIdG7kYPOKJg5,19,not available
13,Mama,60LhU353JDjNjD6dStSdZv,METRICKZ,2P7AfQW941UU324qq2ggZf,Mama,27pYfxLXITw6UOjKWo8W1y,51,https://p.scdn.co/mp3-preview/100c1a4a69abfd42c1523779b2024206705a10ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Wem mach ich was vor,3iCLlhyVp6772vUecjPRji,Tua,1GXnXJCevXK2b7qDAwdU5u,Wem mach ich was vor,3CxssZMgOsNQo4Vw49sYT9,54,https://p.scdn.co/mp3-preview/1d6664dd65734cf50f9be12c9c63550cdc786027?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Leben vor dem Tod,1sGorUUJzayxTA5JF2Yt8c,Sido,4Yttlv9ndGjCDCVLqM7ACq,Leben vor dem Tod,1LegB8priXWa5SyfoALHje,71,not available
16,Suizid,6c1N7X3dDuHz3GXUHwVcNV,PA Sports,2qMezKrAKRh2Z2uR3fCqHt,Suizid,1nZqIqCyQrFNjUMy0Kgnmv,70,not available
17,1975,6mf2YhtRwQUdnORRrRQ3hP,MAJAN,60pVmLS5zlt31OWk340O3U,1975,4kItYcOQGDhTHUNA4NFUjc,64,not available
18,Villa Auf Der Klippe (feat. Trettmann),3WmMLDQJljhKRPO4p0ZYSr,Max Herre,7IpWQKu80qQvyer3LO6SW3,Villa Auf Der Klippe (feat. Trettmann),0e0aljT1IHqTKfFGDclpHT,60,not available
19,MANN IM SPIEGEL,7kt0h8RqGwaoglUYFuwgXn,Fard,7iZ5x5fwRwROoX3iRWpVgN,MANN IM SPIEGEL,5cC4cCOOw9woL5ntbnHatS,58,not available
20,Genau wie du,5KugP0fInIKgxqymtNIOQC,MoTrip,69u5rPwWBKP7pJHpCGB9O5,Genau wie du,0FK6Xj12vvK8KxfiDLq2Ie,53,not available
21,Wilde Welt,0x8cnjsTAGxdqxXtNoZ73B,Chakuza,7sGj46FhEm7c19hArcGtlY,Wilde Welt,2I9kSRB3lIFuTdC05NlCXv,46,https://p.scdn.co/mp3-preview/ee9ff3511f6878852b16b69a6e6904bdcb8e0234?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Hoch,7rWyCELHaVR08xOWupCkiK,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Erde & Knochen (Deluxe Edition),7nJZZgzioTZRpidBYPqwHO,59,https://p.scdn.co/mp3-preview/1db105d2590e2c4be8011dc6001c12dadbeb8c3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Heimweg,46qU1V3tZy1ctP4k8JDPwf,Prinz Pi,3OYM3jjPVR60kOqmamRRgk,Heimweg,3WfvJM8Er3XkSY3Pspgkg3,58,https://p.scdn.co/mp3-preview/2e84ce7c9f8b6432d052414e6bb5f31d927c0218?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Bisschen wie Kunst - Piano Version,4oMtf4L2GLsPptPi6ifGVU,Perez,3O6JEvN76o3iifjyTctGgr,DETOX,3zks6XUujZ11Gf2jA32h0f,38,https://p.scdn.co/mp3-preview/f5ea39dd7289a14d35201cc914747cfa916ce85a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ewigkeit,6mSVTMmaml2QvFEfXgmCzz,Majoe,1a71mkqZC54WhePSbnq7RK,Ewigkeit,2aCkoAi0TMcrXivLGmtDo1,59,https://p.scdn.co/mp3-preview/07996922b2dad1dafc282ba19405fdcc650dbfd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Kein Ort,6bttMvbYkMxp4PlahARQa7,Mädness,7r29hnM0AiX10xqC7WKXh0,OG,2MXvXskaqVDn19oWcO5fKb,51,https://p.scdn.co/mp3-preview/3c13a8091f6e66912a040bf072d994fec81a6d02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Timeout,483rskmuo4E3cKyUBxvohi,MORYZ,0fnO7GBpawb6ELmtKvfGpY,Timeout,02A1SiuzO3gw1OOLoKht77,35,https://p.scdn.co/mp3-preview/c77cd33898d4f870c1f24e464d6cfd2c5e5debb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Meine Welt,0pDXY7Z38zb0YC2uh2JQcI,Prinz Pi,3OYM3jjPVR60kOqmamRRgk,Nichts war umsonst,5ychJJ8YoaOtiCGv8HElAP,50,https://p.scdn.co/mp3-preview/bf0ac1513540580ea32f10237e154f30e4ef9cc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Kilometertief,2ZW4tlba4gr59s1VBUt2aw,Perez,3O6JEvN76o3iifjyTctGgr,SO WAS WIE EIN ALBUM,2m2Ab1hKMl0xIWzN98djCK,37,https://p.scdn.co/mp3-preview/778d20110239aabc4e80e13b3b9e910298e3fd2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,"5 Minuten (feat. Cro, AnnenMayKantereit, Trettmann)",1rciHe0jRJnF3J6CuAwOH0,KitschKrieg,5tHiL8SKSaZGMBUPIiSmX4,"5 Minuten (feat. Cro, AnnenMayKantereit, Trettmann)",3w1aO6cBxb3HoLgyUxB8qz,67,https://p.scdn.co/mp3-preview/c420e2d567796dd6cba7acb8b38f5a572fd7749b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Supernova,58pfccNIRzIHDZVrHMOq3q,Marteria,3nDNDLcZuSto4k9u4AbcLB,Supernova,55vwB2rzUMiLzupHykME86,53,https://p.scdn.co/mp3-preview/03ef5d611f9a868fce5d0c76ad85152d786b1a9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Für immer,58ozG7g6Jd2blFckYH6VSq,Miwata,5RwRoCyyMD8TpyPaRAa0yr,Für immer,5mMa4M7zz5ONUQyhBGpedu,43,not available
33,Du fehlst hier,5bVnyZlYUzQ46PIw63f1WS,Pillath,6ZhSAhthwyV6WoyuM4CSbb,Du fehlst hier,01UwBX8Awj1ejPYEB2832C,43,https://p.scdn.co/mp3-preview/d246bb611f08d81e85978e9602de8e1a39cfdaa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Seit du gesagt hast,3pZR2jLSPB7b9kFROuCxZ2,Danger Dan,2jXb8AWz82Sn3RRGOaia7a,Reflexionen aus dem beschönigten Leben,74CrIDwLDcI8HFvye6Vkht,47,https://p.scdn.co/mp3-preview/f76293dfeae67ab69214a135d25057d80dfa7b31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Hasso,3TN6azWcvHM18VxhYVB1AG,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,Hasso,48b0kS3HdssHcuQGjNv6Fb,56,not available
36,Grauer Beton,20VvQEE7Fxuh7iXZszIQNp,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Grauer Beton,1PoUs0CIYvUYqW6X7Ut5FF,1,not available
37,Schutzengel,1AhCWp3EdGnOZdp41wMOI4,Azad,7LQLsKs1Qulq0BxYdhRnBU,Schutzengel,1kFpMgx0K19qJrQmZOPD8N,51,https://p.scdn.co/mp3-preview/ee7d6e95e93adde16f371e49fe8b8ca7d3c31619?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Tausend Tattoos,1rGZd7EVl4aOClpzDLNPwy,Sido,4Yttlv9ndGjCDCVLqM7ACq,Tausend Tattoos,7mxNuldTYg5SScgpyNsMd5,67,not available
39,Road2Goat,7jmyKXzjmjgmloEBZdFIRn,Shindy,5j21TGkrNEAJe3gG9VlS34,Road2Goat,4ZnuZvSMZYL77hh7bs6CiT,59,https://p.scdn.co/mp3-preview/68ad9d931e8e3106cfc2d40630eda29887050a65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Alle Jubilare wieder,2Sluzpm6rMVnXtKLUaWfrD,Dendemann,2wm5YtIlq0Spe9rDGGTVkF,da nich für!,69VTZhVJ65CFsYIxMyxc6B,54,not available
41,Billie Holiday,1wT5dtQ8Ogc9S836876V1G,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,#DIY,7kxB26w79aNxXXLQUIAv6L,61,https://p.scdn.co/mp3-preview/49ac7952ccefc6507072b7a5e0ad0d6ad3cdc626?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Nostalgie,28coSh1PJ51UgkGsovqVdt,Fard,7iZ5x5fwRwROoX3iRWpVgN,Lost Tapes,6pFcpG2HomsBu7QqRYyXyW,55,https://p.scdn.co/mp3-preview/b41bcbebcd58b91868b74296c7d5ff7dc064dd8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Da wo du herkommst,4PQoiQjfemQl1wdEEPtTdU,SAM,159dlgZwWgkgJXpmU9C44W,Da wo du herkommst,5s3zZGELd9y519RJGINhs9,2,not available
44,BRUDERHERZ,0CRjn1YkWU91lng9x4sWHa,Massiv,33Dtwad3snCG92mhmi17WM,BRUDERHERZ,6XRmTwOUMdrOy6C8QZZgYg,52,https://p.scdn.co/mp3-preview/05433f652bf5ed6dbcfb59136acbb5a9ffbf1076?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Warum ich (feat. Moe Phoenix),0mtaT3tbw0rTY6qIkTxpRM,PA Sports,2qMezKrAKRh2Z2uR3fCqHt,Warum ich (feat. Moe Phoenix),2AqvkuqvH0z0MMPdB34pIQ,54,not available
46,Oh Baby (feat. Jahmiel),3EoTBfk4aqGA2pcUISF2BM,Miwata,5RwRoCyyMD8TpyPaRAa0yr,Oh Baby (feat. Jahmiel),557rx52nrgPbi1L1IfHFCF,2,not available
47,Fan von dir,7L0rh5cpeSEYvb0zugEbbI,Bengio,0gfGtWOKV78OjwmQ0iGcE3,Fan von dir,33OBiKpDogfscJfaqP895H,48,not available
48,Immer wieder (feat. MoTrip),01q4ydDZhk4xdVb0M7uvgu,Rooz,22qcssYcY9HKu3mgcXXEGq,Immer wieder,0Cblqeq9eWa5KmO6mLW5VJ,62,not available
49,Stolpersteine,1rn5uhAxbKLliAPwOYKoVj,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Stolpersteine,2GIwadlGEMyzR12xAcuePd,57,not available
50,Nur ein Traum,7zHaarMLdIGXU9aaHZS0r9,PETE BOATENG,3puHIAxX4RQh1hmUxQDOEj,Nur ein Traum,7hSWqlbG4eGHGM8pWpI7IN,43,https://p.scdn.co/mp3-preview/989d68411e70c126d2a8511911450eec1af9346b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
