Deutschpop Klassiker,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,177845,spotify_germany
1,Ohne Dich (schlaf' ich heut Nacht nicht ein),6v9XhivN2PCrVsIW0U7sVk,Münchener Freiheit,353KPo8gVAfcZfwF7BPZDy,Best Of Münchener Freiheit,4EtkGAIIOueD0xC9ujvs8D,55,https://p.scdn.co/mp3-preview/ee2a0958543c853b9f6f790349f09ebbcb337828?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Ein Kompliment,3ptJBraFGtaeprD4BHmTfV,Sportfreunde Stiller,5PwcOudItUhq3ciF9QwaXZ,Die gute Seite,4WaGL4WxoBSHdsJmjEthay,18,not available
3,Abenteuerland,748pbjnFM9TVwQhDT3LC4N,Pur,175a900UJkfGsIGcvUDaEx,Hits Pur - 20 Jahre Eine Band (Fan Edition),6go7rUd1OUcrNMHlToIgAO,56,not available
4,Bochum - Remastered 2016,6WDe2acDWMoxYZhpZZNpvY,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Bochum (Remastered 2016),72LIvYBtZFIjlcF0ejvRCn,55,not available
5,Cello (feat. Clueso) - MTV Unplugged Radio Atmo-Version,62BukCU8nVt44KQXm0LUff,Udo Lindenberg,7iWcRnQMinCoV2u5ICgsW0,Cello (feat. Clueso) [MTV Unplugged],3zeDDuoex1QDkZXmZ48yxp,56,https://p.scdn.co/mp3-preview/46b9b0db6c905114a8b235d866099c8b69cfad5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Still,2TSoLv5tMkqikfpM5irrqZ,Jupiter Jones,0V9oHfk0CZIiedKP4TSTBL,Jupiter Jones,61xPv4JRySw7lQyvsmU83G,57,https://p.scdn.co/mp3-preview/e1f42b63122976057f3a49ad6dcb2fb9f1a7e0b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Tage wie diese,2lYsCjTvXIHOqT8xSbK2jq,Die Toten Hosen,2F8GvYuY0lfZNYu45dY6gJ,"""Ballast der Republik"" plus Jubiläums-Album ""Die Geister, die wir riefen""",1SD6ODpbAOYA94wEOkA2Ke,61,https://p.scdn.co/mp3-preview/9c00b654180c22dda542768f3bd2b63c094003e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Geile Zeit,3hT1h7FiFFxoLqiTMJM7Ew,Juli,7g13nmmxq4XN0hd64Jzkol,Es ist Juli,4TSdsloInMbjQjj1Zf5KOD,58,not available
9,Männer - Remastered 2016,0o8eQLFcietIkRBK0GflGZ,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Bochum (Remastered 2016),72LIvYBtZFIjlcF0ejvRCn,59,not available
10,Freiheit,6To9fZuSGJApjIP9CZJJda,Westernhagen,6El2bDJ8PlTKVYyEPWxfAS,Westernhagen,21J3fzLfqYwtBkl8PJfO1T,51,https://p.scdn.co/mp3-preview/91ae31ba581628ea582569c45a16b6f0a49d6865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ich bin ich (Wir sind wir),0ot1wz5O4oPuhuCmjA7Q0t,Rosenstolz,2nacZFQ7nlwSw4RpsZlbpP,Das grosse Leben,6EBxhlURNq9HHavejX0dnt,53,not available
12,Über sieben Brücken musst du geh'n,0hBgAs2GmvrG5yAxtBtSkF,Peter Maffay,5W3s4beu23rOlseCbVOp4l,Heute vor dreissig Jahren,1kHb0XFl3FWdKhHYixG6ls,54,https://p.scdn.co/mp3-preview/8ec38ca665e24aaf1141d25cfee6f150932dfd80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Perfekte Welle,2LV5joNDrsyuXEh4FBARVK,Juli,7g13nmmxq4XN0hd64Jzkol,Es ist Juli,4TSdsloInMbjQjj1Zf5KOD,58,not available
14,Halt mich - Remastered 2016,03tZRj3FfeNTu9WFKyG6Wg,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Ö (Remastered 2016),7JXayc3rAXyCblxM9chx4C,50,not available
15,Du trägst keine Liebe in dir,21aT5lIYHjyBIFrXNbNY5U,Echt,6zjMMh0ijUZ0dr6w2Pfe9P,Freischwimmer,0gsQ4zndeWzFIQbASQ9L3w,58,not available
16,Ich lass für dich das Licht an,55VQvOY6dT63vHmYlWJDpG,Revolverheld,5FYfIAuN8mV5KgVtugwfc0,Immer in Bewegung,2GJf3Mf41uZ05U6ygryyD0,61,https://p.scdn.co/mp3-preview/bd0ebe14e46d5626204bcfc520b961c026efdcc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Weil ich dich liebe [Remastered],6J4IzVtA7Uk6heQqcKGwy8,Westernhagen,6El2bDJ8PlTKVYyEPWxfAS,Halleluja (Remastered),12hxaOkQlSGpmhcj1EwL48,50,https://p.scdn.co/mp3-preview/768c92fcadf8d5de4724c3a0252cd9ff11ed718e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Irgendwas bleibt,7dblY1Epg03mXh2bJ9F44Z,Silbermond,3GbUWWI1rMwAIPbUVPvnPA,Nichts Passiert,7ainMK24nBxZeF8BP4OVc1,56,https://p.scdn.co/mp3-preview/c15e50a1ceaedef1ef1a2beb22918fc1ae7341c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Der Weg - Remastered 2016,7py0pONdy9D0DxNnT3elik,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Mensch (Remastered 2016),1mV4V5e2s7PoP6RR9DR1cg,56,not available
20,Alles nur geklaut,4MhaF08X17tmOmUcmRq5lN,Die Prinzen,7F0bQWvv3rfV3EubmoQlwZ,Alles nur geklaut,2LuJwzSEFn1rHI1SHLMYbu,63,https://p.scdn.co/mp3-preview/fd2bebffe2f631c9a41091ce3f875bcdcbe1c385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
