Dancefloor Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Cream - Radio Edit,30jfUVpU8VomfI3VNEi45W,Federico Franchi,3hR8ERMvJ5ZeXp1S6nBwvy,Cream,6b8sUgm8ABesiMqJQpF2vO,36,not available
14,Infinity 2008 - Klaas Vocal Edit,3aQz0z86zrKjd1mcZlonxE,Guru Josh Project,4ME85YvMUi1hdqhbind7gy,Infinity 2008,1uyF93NDsuRn4LqZIl3lyY,68,https://p.scdn.co/mp3-preview/9da076eb20507c0624c80954ee8d7788599f79df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Love Don't Let Me Go (Walking Away),6YnRn7r3TnEZmAwT86vhih,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Love Don't Let Me Go (Walking Away),3Xr3qXhwqvsLwuQygwqYTY,33,https://p.scdn.co/mp3-preview/da6ee2e65a4f717730c32e7f106bd0a3524b95e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Let Me Think About It,4LjfIjS8iweFCPdKxLnEoV,Ida Corr,30ut8L4gmEz4vNr1zNhpbh,Singled Out,4nLyl2aEgi2qQrcPiFlmD7,61,https://p.scdn.co/mp3-preview/a46fc92903028c99aee79150ca2286013862183d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Turn On The Music - Axwell Radio Edit,3qN7k8fKNGywNWQJW17I3G,Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,Turn On The Music,632c0Wm7gCUIiYUimXzQHX,35,https://p.scdn.co/mp3-preview/b5b03f686d7e4be012c8c53b6aec6ef423d88f9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,The Weekend - Radio Edit,4c2wdAMuL7KkGVeyRqmYQu,Michael Gray,2aM5jpQ0WTcQDeHsil8Ihz,The Weekend,1XZgd0Eg278X2wZh2b9bOF,44,https://p.scdn.co/mp3-preview/284f92eea20a85bebf625feda8a4aa024942f0a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Lucky Star,5EMwg8P4A3Qj7BPtau1Mn0,Superfunk,1CbopBMbfM0ned5OAsTkv4,Hold Up (Remastered),6P9Y3V5y09D0577sYb0ZjR,50,https://p.scdn.co/mp3-preview/1ffa73c393cb2d13158dc9d15fe932efb6f2e4d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Tell Me Why - Radio Edit,09ouJVawz1vpR6xBzE1YoH,Supermode,7urnl0uH1w3NCoErxw7AUK,Tell Me Why (Remixes),4saYMVPzI4LhRr6iOJjWxL,48,https://p.scdn.co/mp3-preview/a956926e187fe00c525eedcf5c545d77b8e9f201?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Pjanoo - Radio Edit,0F2BxpbxH8Yc3pLub48hrb,Eric Prydz,5sm0jQ1mq0dusiLtDJ2b4R,Pjanoo,7zlMxh1NR0Shklu48L4e7x,67,https://p.scdn.co/mp3-preview/a6cdf8dc3b5a2ce5d972ce4a95c645ae95deae81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Word Hold on (Children of the Sky) [Radio Edit],1c0zagykmGPDYuxJeDqZhJ,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,Word Hold on (Children of the Sky) [Radio Edit],5NeL55BkApry2hAFHImIhF,65,https://p.scdn.co/mp3-preview/962c579694e558bdb3d8f945143ffe3c9255f3ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Get Get Down - Radio Edit,5o9DZHMGopB2DoSSMTNzQR,Paul Johnson,4BqZuFqHJ8CLn3ig0f1m0G,Get Get Down,4FID9Q7vasOmiTmSQu4p1I,57,https://p.scdn.co/mp3-preview/d9bd0b02e8f1f67ad7bc20a0fce21760c0b83639?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Flawless - Radio Edit,4KtzrgVnGCIOW0S1Lo2mwD,The Ones,59z0q3rlcVQoAPg7YbFbgv,Flawless,4M66YjASP1meDG3HJ121jB,9,not available
25,Free - Mood II Swing Radio Edit,0dc6CJ6BsiKxyPvW4yABLo,Ultra Nate,1cK2Abwkni7m51wJCSGllN,Free,6TpwXfNBW8BSwCAuBDjJSN,62,https://p.scdn.co/mp3-preview/f31c5e6571324aac294c10a8bf60adac06f8e00f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Your Body (Radio Edit),2DXhtUSY5E0kPC1qXMTLgm,Tom Novy,1EVpn7mXyF07LuJqgUk6RX,Superstar,6YzzrVK8f85LgQaQGHQDEj,40,https://p.scdn.co/mp3-preview/b0205451721bea6876ae617cebfa3e168eeb2486?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Delirious (feat. Tara McDonald) - Radio Edit,0yl1LvI69CJrQlXJoYnU97,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Delirious (feat. Tara McDonald),2PQ0hJ46YJ02vvvca2ORp9,48,https://p.scdn.co/mp3-preview/4e39bb4475b6fe13a8d94e8d5908b44a4680a6d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Lady - Hear Me Tonight,49X0LAl6faAusYq02PRAY6,Modjo,0AkpPlFLnr0VQwZQeMGht0,Modjo (Remastered),0vwDxngkhZuwNbcxzebCXI,69,https://p.scdn.co/mp3-preview/70879783cc51d0acd3724e3df8c22b53491d57c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,You see the trouble with me - We'll Be In Trouble Radio Edit,03HhtccRmLReCaa9lp4qHD,Black Legend,4qLiTGMBoVE95pmqJPseOU,You see the trouble with me,3DrspHOiVZeTt5dy8L6Vyc,2,not available
30,Yeah Yeah - Instrumental Radio Edit,7kLJightxzAiE6nIaUtQdQ,Bodyrox,3FVJvsdVNbVmydSuI22Z5v,Yeah Yeah,0qIj9p0MyiMJWtw9Bqc5br,36,https://p.scdn.co/mp3-preview/59ccddbacd7b5604a6536a56d909274b2c07427c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,The Rhythm of the Night,0ofMkI3jzmGCElAOgOLeo3,Corona,26T6b8maqEVltcmE4kSDUl,The Rhythm of the Night,6rrPmmb2lQd5pNRL6HKBZx,69,https://p.scdn.co/mp3-preview/7b4d293b8e25bd860a4c12017647a900a75d8611?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Levels - Radio Edit,0JhKJg5ejeQ8jq89UQtnw8,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Levels,4mkvtXQd6rD7zuAHhexEvb,23,not available
33,Another Chance - Radio Edit,0EvphKjVl4hVGvvAFYoJt1,Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,Dance Floor Anthems,7yhnBLWv6EZ5BRY8oYLdYC,60,https://p.scdn.co/mp3-preview/e4fe82db9241ef04a792bd58e20f853d9403df01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Put Your Hands Up For Detroit,2T1Xemp92qxuUCAFBWfRrj,Fedde Le Grand,7dc6hUwyuIhrZdh80eaCEE,Put Your Hands Up For Detroit,5NaES6denS6wM2M2zV1YkR,60,https://p.scdn.co/mp3-preview/90e692887bf9764752e70afafea353927b9733df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Jubel - Radio Edit,58VSx2Adlz83g6YVDdJ0zR,Klingande,1L9i6qZYIGQedgM9QLSyzb,Jubel EP,29EeCNBZxGVdwHUAyos10R,56,https://p.scdn.co/mp3-preview/7df12c3c3edd3f8a30b20214a5bd2efef8ed2d92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Acceptable in the 80's,00cxhG668jV6gU6VK2FUVI,Calvin Harris,7CajNmpbOovFoOoasH2HaY,I Created Disco,5gDkjyJBK8VLZjKqqUd79K,58,https://p.scdn.co/mp3-preview/b3c9589c24591ca6d89ed3e159856470d640a20f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Show Me Love - Radio Edit,7xL1F0tk9Xz8bMJoJcZyaV,Steve Angello,4FqPRilb0Ja0TKG3RS3y4s,Show Me Love,1kvnktiEZMKlCpkJ3VFe0w,7,not available
38,Seek Bromance - Avicii Vocal Edit,7tSO7DrrYpiMXX3zM4b3oM,Tim Berg,7iLc4hrjOjQPfg1E3cCHg1,Seek Bromance,45LS90ZFHzPbUECiK1JdtZ,55,https://p.scdn.co/mp3-preview/c9a8e3306ae2fb197d3747c266db6b1727ae19ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Pasilda - Knee Deep Mix,5ZYq4PAOce0Uu8Bx84Ft0K,Afro Medusa,6D1DgoF2TYTbPQbRPEriaI,Pasilda,2rwMv1F2ad5I05A0CojRpZ,7,https://p.scdn.co/mp3-preview/dfb9569fdc878e2bb4ccea432d7da4488a564057?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,My My My,6gBvxdyFb3Dx3GLPuFNtAH,Armand Van Helden,3cQA9WH8liZfeja1DxcDYE,Nympho,1uMVJdDja65BhqoTKwbjlH,47,https://p.scdn.co/mp3-preview/e110cb1c17fc4886efc33384f24cca2fe6247c37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Sing It Back - Boris Dlugosch Mix,53qhh1kdcX4gRBShoW4LK8,Moloko,4aaBjq7VqqQvpSF69GglvO,Catalogue,5sCp2ukwrtpYj5wGfMx78M,64,https://p.scdn.co/mp3-preview/ed80f3d36c32a91b24375a22878153817719ba64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Outro lugar,3hl5B6GYsN4K5sjfQvx8JD,Salome de Bahia,6alPczkkZlUZwomoKjrtMc,Brasil,5KnTaowvR3YCd4RCs4EgtF,41,https://p.scdn.co/mp3-preview/442c8ac91d4d462fb3cf3f7f5dd731119954a36f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,What is Love,0DXswAITgjQTi7anZG33af,Haddaway,0Suv0tRrNrUlRzAy8aXjma,The Album - 2nd Edition,3M9fm2TgGF5tF3Xvfsw0Le,50,https://p.scdn.co/mp3-preview/6fce5baa58b1ab34cfc6cad2a783be48b88bfe4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Sexy Bitch (feat. Akon),1B3t5xC2jzTgjDOwawchu8,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,One More Love,6w2rRSUsQk1e9ALB6ybmlz,21,not available
45,Vous êtes fous - Techno version,1bpD8ZWvP7XYI3DHVSPLJv,Benny B,5UH09fEGItBT1759YMWeCI,Vous êtes fous ! (feat. Daddy K),2SHdt4EdgFUbAELM7SiQTc,35,https://p.scdn.co/mp3-preview/99287915476d54651c02a7106c0844073661be33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,One More Time,0DiWol3AO6WpXZgp0goxAV,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Discovery,2noRn2Aes5aoNVsU6iWThc,75,https://p.scdn.co/mp3-preview/c27897e8eb4c0910e052c9beb6711432f3630879?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Encore Une Fois - Future Breeze Edit,3UPBOL5UtCZmJRwioMkfLD,Sash!,5XTxV2ifoYkmNb13Gb6cKz,It's My Life,2YBkamwn6VqpPO2wOfDVjS,63,https://p.scdn.co/mp3-preview/a02fbb29bf705f43942f525522e841a89454f2d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Animals - Radio Edit,6tPw55cuWPf7TUSAOvGlKK,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Animals,213ktC6MjwTh8fRw1KjutM,1,not available
49,Gypsy Woman (She's Homeless) - Radio Edit,4UJ1AKSbXAbPlPVFe66wK7,Crystal Waters,2sd9Q3r0Jhqpe3w9WVuG43,Music For Girls Night Out,0qiop0l73dDZfXckujBG7k,60,not available
50,Stereo Love - Radio Edit,1AguHaKOuggrVTebp7cZEI,Edward Maya,6XwwFnewNgWp81MYMK8zLq,Stereo Love,0tGht9KBhk71vOJCHZzhVk,64,https://p.scdn.co/mp3-preview/76f0bef27ec7986f93e1ef76bd5123409961d8bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
